Protein,Len,NO,NO,NO,OO,OO,OO,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE,Uniprot
m.3981,180,0,0,3,20,20,23,2.874,6.3019,0,0,0.560571,Predicted protein OS=Monosiga brevicollis GN=29577 PE=4 SV=1,3346723
m.33823,263,1,1,2,6,7,6,1.898,3.3634,0,0,0.587824,Putative uncharacterized protein OS=Acropora millepora PE=2 SV=1,3629642
m.27642,274,1,1,1,0,0,0,0.131,0.1488,1,0.56021,0.550861,Putative uncharacterized protein OS=Acropora millepora PE=2 SV=1,3629645
m.251,263,63,34,31,29,27,32,-0.152,-1.0501,0,0.608433,0,Small cysteine-rich protein 2 OS=Acropora millepora GN=SCRiP2 PE=4 SV=1,C0H691
m.17538,642,0,1,0,0,0,0,0.2,0.2316,0.997071,0.48964,0.63189,Nematoblast-specific protein nb035-sv2 OS=Hydra vulgaris GN=nb035 PE=2 SV=1,C0JBW6
m.1500,101,2,4,24,3,6,3,-0.69,-2.0377,0,0.580225,0,Small cysteine-rich protein 3a OS=Montastraea faveolata GN=SCRiP3a PE=4 SV=1,C1KIZ1
m.332,282,200,198,259,232,246,244,0.329,5.697,0,0,0.562026,Small cysteine-rich protein 3a OS=Montastraea faveolata GN=SCRiP3a PE=4 SV=1,C1KIZ1
m.10111,222,5,3,3,5,3,4,0.307,0.7375,0.340008,0.015633,0.739085,Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85349 PE=4 SV=1,3660641
m.23808,381,2,1,1,7,3,3,1.556,2.5098,0,0,0.61296,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_63870 PE=4 SV=1,3663531
m.20487,290,2,0,2,2,1,0,-0.081,-0.111,0.888211,0.656507,0.174004,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_63866 PE=4 SV=1,3663535
m.16036,305,0,0,0,3,5,4,1.684,2.6667,0,0,0.607011,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_63863 PE=4 SV=1,3663538
m.16259,270,0,0,0,0,0,1,0.212,0.242,0.996006,0.479111,0.640044,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_63863 PE=4 SV=1,3663538
m.35566,133,2,0,0,0,0,0,-0.072,-0.0895,0.921619,0.653829,0.202611,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_87842 PE=4 SV=1,3664776
m.16043,429,1,2,0,1,1,1,-0.067,-0.0868,0.925437,0.653442,0.206356,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_86827 PE=4 SV=1,3665245
m.10260,232,1,1,0,4,5,4,1.778,2.639,0,0,0.60801,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85506 PE=4 SV=1,3665646
m.18370,247,4,1,3,5,7,6,1.034,2.3724,0,0,0.618783,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_91695 PE=4 SV=1,3667855
m.6438,185,0,1,0,0,0,0,0.238,0.2633,0.993864,0.45642,0.65544,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_120670 PE=4 SV=1,3669220
m.27902,108,2,2,0,0,1,1,-0.44,-0.5677,0.012072,0.637388,0.000569,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_66592 PE=4 SV=1,3674544
m.25376,167,0,2,0,3,4,3,1.177,1.9341,0,0,0.641911,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_79665 PE=4 SV=1,3674619
m.29573,135,17,18,6,3,7,7,-0.673,-2.355,0,0.5756,0,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85658 PE=4 SV=1,3676617
m.36925,343,0,0,0,0,0,1,0.174,0.2044,0.999961,0.515436,0.608477,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_124060 PE=4 SV=1,3682419
m.15624,128,1,1,0,0,0,0,0.198,0.2313,0.997113,0.489938,0.631648,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_88075 PE=4 SV=1,3682490
m.13287,313,0,0,0,7,8,9,2.598,3.7414,0,0,0.580695,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_89366 PE=4 SV=1,3682710
m.15280,205,13,5,4,4,3,4,-0.489,-1.29,0,0.598644,0,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_129574 PE=4 SV=1,3683555
m.34818,176,0,1,0,0,0,0,0.254,0.3003,0.990073,0.413621,0.678329,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_121360 PE=4 SV=1,3684237
m.3747,251,0,0,15,3,0,1,-1.074,-2.0202,0,0.580512,0,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_88391 PE=4 SV=1,3685111
m.5798,414,1,0,0,2,1,0,0.503,0.6227,0.687202,0.056262,0.74535,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_68793 PE=4 SV=1,3686394
m.37973,255,0,0,7,1,1,0,-0.997,-1.4816,0,0.592355,0,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_90332 PE=4 SV=1,3688662
m.25490,249,2,0,1,0,0,0,-0.141,-0.1752,0.745659,0.660739,0.103229,Galaxin-like 1 OS=Acropora millepora PE=2 SV=1,D9IQ17
m.38693,226,0,1,1,0,1,0,0.009,0.0094,0.999423,0.630921,0.35364,Uncharacterized protein OS=Capsaspora owczarzaki (strain ATCC 30864) GN=CAOG_03205 PE=4 SV=2,4093212
m.4763,224,0,1,0,5,6,5,2.139,3.1529,0,0,0.592457,Tenascin C (Fragment) OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_01083 PE=4 SV=1,F2U0R7
m.906,154,0,1,0,0,0,0,0.174,0.2128,0.998834,0.507738,0.616037,Tenascin C (Fragment) OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_01083 PE=4 SV=1,F2U0R7
m.20818,279,3,4,0,9,5,7,1.28,2.9794,0,0,0.597074,Putative uncharacterized protein OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_01084 PE=4 SV=1,4191201
m.23358,103,0,3,0,1,0,0,-0.301,-0.3919,0.143265,0.651578,0.00876,Putative uncharacterized protein OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_01084 PE=4 SV=1,4191201
m.26680,176,3,6,1,10,9,8,1.244,3.2144,0,0,0.590994,Putative uncharacterized protein OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_01084 PE=4 SV=1,4191201
m.33827,165,1,2,0,3,4,3,1.202,1.9644,0,0,0.640089,Putative uncharacterized protein OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_01084 PE=4 SV=1,4191201
m.3392,310,0,0,0,5,3,1,1.383,2.1176,0,0,0.631377,Putative uncharacterized protein OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_01084 PE=4 SV=1,4191201
m.37484,157,1,0,0,0,0,0,0.219,0.2483,0.995213,0.472555,0.644775,Putative uncharacterized protein OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_01084 PE=4 SV=1,4191201
m.4724,266,1,2,0,0,0,0,-0.078,-0.0921,0.91781,0.654191,0.199036,Putative uncharacterized protein OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_01084 PE=4 SV=1,4191201
m.22011,193,1,0,0,0,0,0,0.178,0.1944,1,0.52428,0.599086,Putative uncharacterized protein OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_03050 PE=4 SV=1,4192373
m.13228,262,0,1,0,0,0,0,0.221,0.2489,0.995198,0.471924,0.645218,Teneurin-2 OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_10401 PE=4 SV=1,F2UR72
m.13885,1031,4,8,0,2,3,3,-0.321,-0.671,0.002035,0.62975,0.000085,Teneurin-2 OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_10401 PE=4 SV=1,F2UR72
m.5288,344,3,6,0,3,5,4,0.408,0.9744,0.017215,0.000459,0.716804,Teneurin-2 OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_10401 PE=4 SV=1,F2UR72
m.36423,114,2,6,0,5,5,3,0.632,1.4788,0,0,0.673286,Putative uncharacterized protein OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_13036 PE=4 SV=1,4200082
m.3543,203,22,9,19,10,6,9,-0.458,-1.8728,0,0.583092,0,Lipoxygenase OS=Actineria villosa GN=Avt-lox PE=2 SV=1, F2Z929
m.1485,256,2,4,1,5,4,3,0.764,1.6082,0,0,0.663694,Putative uncharacterized protein OS=Acropora millepora PE=2 SV=1,4396302
m.35068,261,0,0,1,0,1,2,0.551,0.7035,0.442175,0.023543,0.741621,Putative uncharacterized protein OS=Acropora millepora PE=2 SV=1,4396302
m.2425,858,1,1,0,2,0,1,0.52,0.6306,0.665122,0.052002,0.745174,Uncharacterized protein (Fragment) OS=Strongylocentrotus purpuratus PE=4 SV=1,4499359
m.13076,445,0,1,0,1,0,0,0.113,0.1285,1,0.573969,0.526509,Uncharacterized protein OS=Strongylocentrotus purpuratus PE=4 SV=1,4513385
m.579,570,0,0,33,106,108,113,2.49,14.5365,0,0,0.556624,Uncharacterized protein OS=Amphimedon queenslandica GN=LOC100633656 PE=4 SV=1,4596768
m.13292,122,0,2,0,2,1,2,0.489,0.6895,0.485882,0.027663,0.742531,Uncharacterized protein OS=Amphimedon queenslandica PE=4 SV=1,4598910
m.12364,195,0,1,1,2,3,3,1.295,1.7401,0,0,0.654411,Uncharacterized protein OS=Amphimedon queenslandica GN=LOC100633942 PE=4 SV=1,4606641
m.12976,264,0,2,0,4,1,0,0.615,0.9418,0.028794,0.0008,0.719936,Uncharacterized protein OS=Amphimedon queenslandica GN=LOC100634434 PE=4 SV=1,4612222
m.6554,533,44,47,39,51,38,27,0.138,1.0868,0.00237,0.000057,0.706258,Uncharacterized protein OS=Amphimedon queenslandica PE=4 SV=1,4616512
m.26409,122,2,4,0,0,0,0,-0.772,-1.0377,0.000001,0.609003,0,Uncharacterized protein OS=Crassostrea gigas GN=CGI_10009549 PE=4 SV=1,4765919
m.29142,223,0,0,0,15,11,10,2.92,4.1467,0,0,0.573979,Uncharacterized protein OS=Crassostrea gigas GN=CGI_10009549 PE=4 SV=1,4765919
m.5502,228,5,9,7,18,15,16,1.058,3.9463,0,0,0.577035,Uncharacterized protein OS=Crassostrea gigas GN=CGI_10009549 PE=4 SV=1,4765919
m.32224,134,0,0,0,0,1,2,0.549,0.6868,0.494303,0.028523,0.742695,Uncharacterized protein OS=Crassostrea gigas GN=CGI_10013024 PE=4 SV=1,4777729
m.784,162,6,1,6,0,0,0,-1.379,-2.0369,0,0.580238,0,Uncharacterized protein OS=Crassostrea gigas GN=CGI_10007637 PE=4 SV=1,4779315
m.11152,593,2,2,0,5,3,5,1.255,2.1698,0,0,0.628599,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,K1QX02
m.11654,271,5,9,1,8,8,7,0.657,1.912,0,0,0.643261,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,K1QX02
m.14672,359,3,10,0,8,10,9,0.88,2.7479,0,0,0.604204,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,K1QX02
m.18280,786,5,9,1,12,9,7,0.878,2.5392,0,0,0.611791,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,K1QX02
m.26704,140,1,1,0,0,0,1,0.201,0.2301,0.997263,0.491129,0.630678,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,K1QX02
m.28777,363,0,3,0,1,0,0,-0.355,-0.5016,0.033499,0.642663,0.001715,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,K1QX02
m.29378,194,1,1,0,1,1,1,0.225,0.2543,0.994714,0.466189,0.649143,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,K1QX02
m.29620,137,0,0,0,3,3,1,1.106,1.5177,0,0,0.670354,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,K1QX02
m.30786,151,0,0,0,1,0,0,0.147,0.1568,1,0.554417,0.559971,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,K1QX02
m.32263,177,2,2,0,1,0,0,-0.358,-0.4681,0.054053,0.645403,0.002897,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,K1QX02
m.35966,105,1,1,0,0,0,0,0.157,0.1844,1,0.532773,0.589275,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,K1QX02
m.3839,159,0,1,0,0,0,0,0.204,0.231,0.997153,0.490236,0.631407,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,K1QX02
m.38685,106,0,0,0,1,0,1,0.282,0.3217,0.987835,0.387143,0.689541,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,K1QX02
m.4366,173,1,3,0,3,3,3,0.883,1.5568,0,0,0.66745,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,K1QX02
m.6121,222,5,2,1,7,3,4,0.794,1.8464,0,0,0.64738,Uncharacterized protein OS=Crassostrea gigas GN=CGI_10028476 PE=4 SV=1,4785826
m.8982,213,19,12,30,37,37,39,0.855,5.1938,0,0,0.564044,Uncharacterized protein OS=Crassostrea gigas GN=CGI_10028476 PE=4 SV=1,4785826
m.26643,120,0,0,1,0,0,0,0.165,0.1783,1,0.537781,0.583081,Polyamine-modulated factor 1-binding protein 1 OS=Crassostrea gigas GN=CGI_10023704 PE=4 SV=1,K1RFT6
m.37732,163,4,2,1,2,1,0,-0.365,-0.5789,0.01006,0.636521,0.000468,Putative late embryogenesis protein (Fragment) OS=Stylophora pistillata GN=g11651 PE=4 SV=1,M1H3W2
m.4026,349,8,8,8,3,3,2,-0.921,-2.1428,0,0.578566,0,Coral acid rich protein 4 OS=Stylophora pistillata PE=4 SV=1,M1SN56
m.4199,411,0,0,1,0,0,0,0.146,0.1731,1,0.541951,0.577675,Coral acid rich protein 4 OS=Stylophora pistillata PE=4 SV=1,M1SN56
m.1286,2829,1303,1357,1705,1222,1277,1281,0.094,4.6708,0,0,0.567895,Uncharacterized protein OS=Stylophora pistillata PE=4 SV=1,4941088
m.27134,171,1,3,0,6,6,5,1.51,2.6249,0,0,0.608527,Uncharacterized protein OS=Stylophora pistillata PE=4 SV=1,4941088
m.28742,295,17,15,15,25,21,23,0.629,3.3486,0,0,0.588119,Uncharacterized protein OS=Stylophora pistillata PE=4 SV=1,4941088
m.38525,104,3,2,4,2,0,2,-0.389,-0.6449,0.003258,0.631599,0.00014,Uncharacterized protein OS=Stylophora pistillata PE=4 SV=1,4941088
m.3844,610,169,329,91,210,169,176,0.18,3.0136,0,0,0.596113,Putative flagellar-associated protein (Fragment) OS=Stylophora pistillata PE=4 SV=1,M1T236
m.17615,183,6,6,19,0,1,0,-2.249,-3.5381,0,0.566376,0,Egg protein OS=Galaxea fascicularis GN=GfEP-4 PE=2 SV=1,Q5R227
m.27544,189,0,1,0,0,0,0,0.202,0.2252,0.99755,0.495937,0.626655,Egg protein OS=Galaxea fascicularis GN=GfEP-4 PE=2 SV=1,Q5R227
m.348,295,42,17,22,13,16,14,-0.413,-2.0911,0,0.579369,0,Galaxin OS=Galaxea fascicularis GN=galaxin PE=2 SV=1,Q8I6S1
m.5441,307,0,0,0,1,1,0,0.17,0.2029,1,0.516784,0.607094,Uncharacterized protein OS=Capitella teleta GN=CAPTEDRAFT_216986 PE=4 SV=1,5344297
m.26,122,0,1,1,0,0,0,0.171,0.1923,1,0.526092,0.59706,Uncharacterized protein (Fragment) OS=Capitella teleta GN=CAPTEDRAFT_129670 PE=4 SV=1,5366826
m.20628,112,0,0,0,1,0,0,0.205,0.2557,0.994487,0.464686,0.650142,Egg protein OS=Euphyllia ancora PE=2 SV=1,R9WTR7
m.26931,103,0,3,5,0,0,0,-0.973,-1.4755,0,0.592536,0,Egg protein OS=Euphyllia ancora PE=2 SV=1,R9WTR7
m.30564,140,0,3,0,0,0,0,-0.372,-0.4974,0.035623,0.643005,0.001834,Egg protein OS=Euphyllia ancora PE=2 SV=1,R9WTR7
m.5747,202,23,7,7,1,0,0,-2.429,-3.7634,0,0.565151,0,Egg protein OS=Euphyllia ancora PE=2 SV=1,R9WTR7
m.27291,142,0,0,0,2,0,0,0.564,0.7045,0.439,0.023269,0.741552,Putative plasma membrane protein OS=Anopheles aquasalis PE=2 SV=1,5473090
m.9133,155,12,29,50,47,49,43,0.66,4.9947,0,0,0.56524,Uncharacterized protein OS=Helobdella robusta GN=HELRODRAFT_193192 PE=4 SV=1,5494725
m.8203,109,2,0,0,2,3,3,0.966,1.5317,0,0,0.669309,Uncharacterized protein OS=Strigamia maritima PE=4 SV=1,5530311
m.29493,482,0,1,1,2,0,0,0.494,0.6172,0.70202,0.059381,0.745444,Uncharacterized protein OS=Strigamia maritima PE=4 SV=1,5531126
m.16442,194,0,13,12,7,4,6,-0.191,-0.6087,0.006115,0.634256,0.000275,Uncharacterized protein OS=Tetranychus urticae PE=3 SV=1,5548421
m.4452,223,2,0,1,2,0,0,0.289,0.3689,0.98099,0.325555,0.709695,Liprin-beta-1 (Fragment) OS=Hydra vulgaris GN=PPFIBP1 PE=2 SV=1,T2MAV3
m.14586,176,1,1,1,0,0,0,0.105,0.1149,1,0.582456,0.509218,"Leucine-rich PPR motif-containing protein, mitochondrial (Fragment) OS=Hydra vulgaris GN=LRPPRC PE=2 SV=1",T2MFD7
m.23871,448,2,0,0,0,0,0,-0.125,-0.1493,0.810556,0.659645,0.128987,Uncharacterized protein OS=Ascaris suum GN=ASU_09704 PE=4 SV=1,5583993
m.36074,128,0,0,0,13,10,10,2.746,4.0812,0,0,0.574914,Expressed conserved protein OS=Echinococcus multilocularis GN=EmuJ_000158900 PE=4 SV=1,U6J140
m.22625,168,0,0,0,1,0,0,0.267,0.327,0.9872,0.38042,0.692106,Uncharacterized protein OS=Lottia gigantea GN=LOTGIDRAFT_158251 PE=4 SV=1,5726265
m.32790,184,1,0,3,2,2,3,0.57,0.9008,0.052692,0.001557,0.723911,Uncharacterized protein OS=Lottia gigantea GN=LOTGIDRAFT_152977 PE=4 SV=1,5731708
m.18408,135,0,3,2,3,0,0,-0.043,-0.0645,0.952266,0.649777,0.238416,Uncharacterized protein OS=Lottia gigantea GN=LOTGIDRAFT_160587 PE=4 SV=1,5738812
m.23594,226,2,2,1,8,8,10,1.946,3.6724,0,0,0.581986,Uncharacterized protein OS=Lottia gigantea GN=LOTGIDRAFT_230986 PE=4 SV=1,5739728
m.11131,120,4,0,0,0,0,0,-0.559,-0.75,0.000448,0.624501,0.000017,Uncharacterized protein OS=Emiliania huxleyi CCMP1516 GN=EMIHUDRAFT_249911 PE=4 SV=1,8757418
m.2327,164,3,2,0,1,3,2,0.207,0.3415,0.985443,0.361739,0.69872,Uncharacterized protein OS=Emiliania huxleyi CCMP1516 GN=EMIHUDRAFT_207150 PE=4 SV=1,8764129
m.33585,222,4,4,5,5,7,7,0.602,1.6338,0,0,0.661851,Hypothetical transporter OS=Cyanothece sp. CCY0110 GN=CY0110_03479 PE=4 SV=1,A3IKA9
m.534,225,79,73,18,61,63,60,0.326,3.1274,0,0,0.593092,Hypothetical transporter OS=Rhodobacteraceae bacterium HTCC2150 GN=RB2150_00225 PE=4 SV=1,A3JW70
m.24620,241,14,5,6,6,11,8,0.224,0.7664,0.262211,0.010825,0.736652,Ricin B lectin (Precursor) OS=Leptonema illini DSM 21528 GN=Lepil_4202 PE=4 SV=1,H2CLR9
m.9807,393,34,40,15,43,35,39,0.538,3.7913,0,0,0.579771,Putative glycosyltransferase OS=Micromonospora lupini str. Lupac 08 GN=MILUP08_30041 PE=4 SV=1, I0L710
m.21772,262,0,0,0,1,3,1,0.8,1.1003,0.001831,0.000044,0.705018,Uncharacterized protein OS=Anabaena sp. 90 GN=ANA_C10044 PE=4 SV=1,22075682
m.29606,138,4,4,2,0,0,0,-1.04,-1.4573,0,0.593082,0,Uncharacterized protein OS=Xenococcus sp. PCC 7305 GN=Xen7305DRAFT_00025450 PE=4 SV=1,24393482
m.12716,167,12,7,12,5,4,4,-0.647,-1.888,0,0.58281,0,Lectin mal homologue (Fragment) OS=Microcystis aeruginosa GN=malh PE=4 SV=1,Q9LBT9
m.20590,295,0,0,0,1,1,0,0.194,0.2178,0.998579,0.503045,0.620397,RHS repeat-associated core domain protein OS=Clostridium sp. CAG:568 GN=BN713_01022 PE=4 SV=1,31133027
m.28313,382,0,1,5,0,0,0,-0.658,-0.963,0.000004,0.612586,0,Uncharacterized protein OS=Parabacteroides goldsteinii dnLKV18 GN=C803_04595 PE=4 SV=1,32160160
m.1846,234,1,0,0,4,3,2,1.43,1.9962,0,0,0.638213,Wd40 repeat-containing protein OS=Leptolyngbya sp. Heron Island J GN=N836_24850 PE=4 SV=1,U9VKL9
m.7906,339,0,1,0,0,0,0,0.182,0.2048,0.999942,0.515075,0.608844,Rhs family protein OS=Salmonella enterica subsp. enterica serovar Muenchen str. baa1674 GN=SEEM1674_20224 PE=4 SV=1,39703618
m.7675,148,0,0,0,2,0,0,0.524,0.7092,0.424325,0.022018,0.741225,Uncharacterized protein OS=Acaryochloris marina (strain MBIC 11017) GN=AM1_C0121 PE=4 SV=1,42011228
m.5331,336,0,0,0,4,1,0,0.974,1.3385,0.00001,0,0.68431,Glyoxalase/bleomycin resistance protein/dioxygenase (Precursor) OS=Chitinophaga pinensis (strain ATCC 43595 / DSM 2588 / NCIB 11800 / UQM 2034) GN=Cpin_6751 PE=4 SV=1, C7PNQ2
m.26751,180,4,2,1,10,9,10,1.706,4.0005,0,0,0.576151,Uncharacterized protein OS=Xanthomonas albilineans (strain GPE PC73 / CFBP 7063) GN=XALC_2793 PE=4 SV=1,43773995
m.3547,337,4,6,5,0,3,1,-0.936,-1.6673,0,0.587424,0,RimK domain protein ATP-grasp OS=Rhodomicrobium vannielii (strain ATCC 17100 / ATH 3.1.1 / DSM 162 / LMG 4299) GN=Rvan_2759 PE=4 SV=1,E3I844
m.32269,102,0,0,0,0,0,1,0.158,0.1834,1,0.533603,0.58827,Uncharacterized protein (Fragment) OS=Takifugu rubripes GN=LOC101076203 PE=4 SV=1,51514037
m.5986,133,2,0,0,0,0,0,-0.116,-0.1399,0.831749,0.659053,0.139285,Uncharacterized protein OS=Oreochromis niloticus PE=4 SV=1,51638381
m.5958,540,5,3,5,6,4,5,0.346,0.9229,0.038275,0.001092,0.721764,Uncharacterized protein OS=Xiphophorus maculatus PE=4 SV=1,51730564
m.11346,282,0,0,0,2,0,1,0.52,0.632,0.661171,0.051274,0.745138,"Chromosome undetermined SCAF6613, whole genome shotgun sequence OS=Tetraodon nigroviridis GN=GSTENG00003063001 PE=4 SV=1",51839299
m.9482,331,2,0,4,3,0,0,-0.115,-0.1784,0.736941,0.660823,0.100312,Serine racemase OS=Bos taurus GN=SRR PE=2 SV=1,A0JNI4
m.7201,1122,1,0,0,0,0,0,0.189,0.2283,0.997429,0.492905,0.629212,Laminin subunit gamma-1 OS=Xenopus tropicalis GN=lamc1 PE=2 SV=1,A0JP86
m.32852,395,1,0,0,2,3,3,1.247,1.7045,0,0,0.656861,Chitinase domain-containing protein 1 OS=Rattus norvegicus GN=Chid1 PE=2 SV=2,A0JPQ9
m.1706,388,3,3,0,0,0,0,-0.744,-1.0675,0,0.607645,0,Testin OS=Canis familiaris GN=TES PE=3 SV=1,A0M8U6
m.1751,317,0,0,0,1,0,1,0.137,0.1529,1,0.557268,0.555566,DNA-(apurinic or apyrimidinic site) lyase OS=Danio rerio GN=apex1 PE=1 SV=1,A0MTA1
m.17776,322,11,1,6,12,11,11,0.875,2.7915,0,0,0.60277,Dehydrogenase/reductase SDR family member 12 OS=Homo sapiens GN=DHRS12 PE=1 SV=2,A0PJE2
m.21047,294,10,3,8,12,10,7,0.548,1.9316,0,0,0.642063,"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial OS=Danio rerio GN=echdc3 PE=2 SV=2",A0PJR5
m.36293,247,8,10,12,12,12,11,0.376,1.4794,0,0,0.673241,Pyrroline-5-carboxylate reductase 3 OS=Xenopus laevis GN=pycrl PE=2 SV=2,A1L2Q8
m.25217,316,0,0,0,1,0,0,0.283,0.3312,0.986761,0.37505,0.694083,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D OS=Homo sapiens GN=SSC5D PE=2 SV=3,A1L4H1
m.11309,423,0,1,0,0,0,0,0.24,0.2636,0.993833,0.45609,0.655645,Hemicentin-2 OS=Mus musculus GN=Hmcn2 PE=2 SV=1,A2AJ76
m.1733,1264,7,2,0,0,0,0,-1.067,-1.5456,0,0.590533,0,Hemicentin-2 OS=Mus musculus GN=Hmcn2 PE=2 SV=1,A2AJ76
m.18835,428,0,1,1,2,0,0,0.569,0.7502,0.304536,0.013331,0.738041,E3 ubiquitin-protein ligase UBR4 OS=Mus musculus GN=Ubr4 PE=1 SV=1,A2AN08
m.30465,240,0,0,0,1,0,1,0.09,0.1002,1,0.590998,0.48968,E3 ubiquitin-protein ligase UBR4 OS=Mus musculus GN=Ubr4 PE=1 SV=1,A2AN08
m.6463,6996,23,23,23,26,11,20,0.035,0.1994,1,0.519901,0.603835,Titin OS=Mus musculus GN=Ttn PE=1 SV=1,A2ASS6
m.37396,133,6,7,8,10,10,11,0.625,2.2085,0,0,0.626604,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Mus musculus GN=Svep1 PE=1 SV=1",A2AVA0
m.17582,562,9,6,4,6,4,4,-0.084,-0.2306,0.579581,0.660867,0.060742,Collagen alpha-4(VI) chain OS=Mus musculus GN=Col6a4 PE=1 SV=2,A2AX52
m.18376,222,0,0,0,2,0,1,0.438,0.5585,0.834251,0.101105,0.744708,Collagen alpha-4(VI) chain OS=Mus musculus GN=Col6a4 PE=1 SV=2,A2AX52
m.24493,298,11,1,6,6,6,6,0.223,0.6992,0.455401,0.024749,0.741909,Collagen alpha-4(VI) chain OS=Mus musculus GN=Col6a4 PE=1 SV=2,A2AX52
m.33619,266,4,1,0,2,3,1,0.213,0.3397,0.985666,0.364079,0.697931,Collagen alpha-4(VI) chain OS=Mus musculus GN=Col6a4 PE=1 SV=2,A2AX52
m.18693,232,3,14,9,11,11,11,0.497,1.8846,0,0,0.644961,Menin OS=Canis familiaris GN=MEN1 PE=2 SV=1,A2SXS5
m.14051,131,2,1,0,4,5,7,1.706,3.0594,0,0,0.594863,Ribose-5-phosphate isomerase OS=Sus scrofa GN=RPIA PE=2 SV=1,A2TLM1
m.9284,447,19,21,21,82,87,78,1.634,10.5244,0,0,0.556942,Protein kinase C-binding protein NELL2 OS=Xenopus tropicalis GN=nell2 PE=2 SV=1,A2VCU8
m.29970,184,0,2,0,0,0,0,-0.034,-0.0397,0.97458,0.644662,0.276025,Integral membrane protein 2C OS=Bos taurus GN=ITM2C PE=2 SV=1,A2VDN0
m.637,726,3,1,8,10,8,9,1.093,3.1249,0,0,0.593155,Splicing factor 3A subunit 1 OS=Bos taurus GN=SF3A1 PE=2 SV=1,A2VDN6
