Protein,Len,NO,NO,NO,ON,ON,ON,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE,
m.10909,251,2,0,1,6,3,1,1.231,2.0483,0,0,0.64172,Dorsal-ventral patterning tolloid-like protein 1 OS=Danio rerio GN=tll1 PE=2 SV=1,O57460
m.10911,115,0,0,0,0,0,0,0.247,0.2912,1,0.569846,0.61485,Aldehyde dehydrogenase family 8 member A1 OS=Mus musculus GN=Aldh8a1 PE=1 SV=1,Q8BH00
m.10914,217,0,2,1,0,0,0,-0.04,-0.0521,0.868777,0.705887,0.167948,Ras-related protein Rab-14 OS=Pongo abelii GN=RAB14 PE=2 SV=3,Q5R8Z8
m.10915,153,0,0,0,0,0,0,0.319,0.3847,1,0.476046,0.679942,Predicted protein OS=Nematostella vectensis GN=v1g213018 PE=4 SV=1,3279464
m.10923,594,0,0,0,0,0,0,0.258,0.2911,1,0.56993,0.614765,Phosphoribosylformylglycinamidine synthase OS=Mus musculus GN=Pfas PE=2 SV=1,Q5SUR0
m.10925,224,0,0,0,0,0,0,0.325,0.3471,1,0.517397,0.657175,WD repeat domain phosphoinositide-interacting protein 3 OS=Gallus gallus GN=WDR45B PE=2 SV=1,Q5ZL16
m.10928,723,0,0,0,0,0,5,1.189,1.5759,0.000001,0,0.666073,Peroxidasin OS=Drosophila melanogaster GN=Pxn PE=1 SV=1,Q9VZZ4
m.10938,346,6,7,5,10,13,5,0.723,2.334,0,0,0.630619,Arsenite methyltransferase OS=Rattus norvegicus GN=As3mt PE=1 SV=1,Q8VHT6
m.10942,329,0,1,0,0,0,0,0.293,0.337,1,0.527682,0.650313,E3 ubiquitin-protein ligase LRSAM1 OS=Mus musculus GN=Lrsam1 PE=2 SV=1,Q80ZI6
m.10944,532,1,0,0,1,0,0,0.226,0.2406,1,0.608177,0.566689,E3 ubiquitin-protein ligase BRE1B OS=Rattus norvegicus GN=Rnf40 PE=1 SV=1,Q8CJB9
m.10947,109,0,0,0,0,0,0,0.246,0.2794,1,0.57954,0.60449,Predicted protein OS=Nematostella vectensis GN=v1g245296 PE=4 SV=1,3278923
m.1096,218,0,0,0,0,0,0,0.366,0.3973,1,0.461153,0.686654,Peroxisomal trans-2-enoyl-CoA reductase OS=Mus musculus GN=Pecr PE=1 SV=1,Q99MZ7
m.10970,130,0,0,0,0,0,0,0.309,0.3462,1,0.518328,0.656577,Solute carrier family 22 member 15-like OS=Xenopus laevis GN=slc22a15b PE=2 SV=1,Q7ZX53
m.10974,566,14,10,6,9,14,17,0.589,2.3544,0,0,0.6299,Bifunctional purine biosynthesis protein PURH OS=Gallus gallus GN=ATIC PE=1 SV=1,P31335
m.10984,437,0,0,0,0,0,0,0.335,0.3997,1,0.458261,0.687883,Retinoic acid receptor RXR OS=Biomphalaria glabrata GN=RXR PE=1 SV=1,Q8T5C6
m.110,1165,137,197,92,137,77,98,-0.008,-0.1051,0.742077,0.708128,0.112142,Lethal(2) giant larvae protein homolog 1 OS=Mus musculus GN=Llgl1 PE=1 SV=1,Q80Y17
m.1100,513,10,8,2,9,8,3,0.303,0.9622,0.083547,0.005289,0.727103,D-3-phosphoglycerate dehydrogenase OS=Mus musculus GN=Phgdh PE=1 SV=3,Q61753
m.11013,280,0,0,0,0,0,0,0.399,0.4348,1,0.414103,0.704181,m.11013,
m.11021,150,1,2,2,0,0,0,-0.231,-0.2772,0.241772,0.699214,0.020371,Multiple coagulation factor deficiency protein 2 homolog OS=Pongo abelii GN=MCFD2 PE=2 SV=1,Q5R8Z6
m.11029,519,0,0,0,0,0,1,0.185,0.2149,1,0.624553,0.538436,Gamma-glutamyltranspeptidase 1 OS=Sus scrofa GN=GGT1 PE=2 SV=1,P20735
m.1103,1107,0,1,0,1,0,1,0.364,0.4048,1,0.452057,0.690445,Sodium-driven chloride bicarbonate exchanger OS=Bos taurus GN=SLC4A10 PE=2 SV=1,Q32LP4
m.11035,299,0,7,3,4,2,6,0.384,0.9136,0.145021,0.009888,0.733587,"Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Bos taurus GN=C1QBP PE=2 SV=1",Q3T0B6
m.11041,876,0,0,0,1,0,2,0.505,0.7043,0.711211,0.088723,0.752545,Pumilio homolog 1 OS=Gallus gallus GN=PUM1 PE=2 SV=1,Q2VB19
m.11045,121,10,6,8,5,5,2,-0.446,-1.2504,0,0.62939,0,Myophilin OS=Echinococcus granulosus PE=2 SV=1,Q24799
m.11048,288,0,0,0,0,0,0,0.233,0.2567,1,0.596884,0.583078,Collagen alpha-1(XIV) chain OS=Gallus gallus GN=COL14A1 PE=1 SV=2,P32018
m.11063,151,4,7,5,2,0,5,-0.428,-0.9798,0.000002,0.641468,0,PREDICTED: uncharacterized protein LOC101235613 [Hydra vulgaris],XP_004206966
m.11091,103,0,0,0,0,0,0,0.203,0.2354,1,0.611652,0.56118,m.11091,
m.11093,943,0,0,0,0,0,0,0.268,0.3172,0.999809,0.546807,0.635879,Phosphatidylinositol 3-kinase regulatory subunit alpha OS=Xenopus laevis GN=pik3r1-a PE=2 SV=1,Q8UUU2
m.11100,1144,13,10,9,13,17,14,0.649,2.8203,0,0,0.61638,Large proline-rich protein BAG6 OS=Danio rerio GN=Bag6 PE=3 SV=1,A3KPW9
m.11104,363,1,0,0,0,0,2,0.606,0.775,0.487906,0.046405,0.749051,m.11104,
m.11107,150,37,36,57,37,20,19,-0.24,-1.682,0,0.616993,0,Actin-related protein 2/3 complex subunit 5 OS=Mus musculus GN=Arpc5 PE=2 SV=3,Q9CPW4
m.11115,300,7,10,0,3,0,0,-1.075,-2.106,0,0.610569,0,Techylectin-5B OS=Tachypleus tridentatus PE=1 SV=1,Q9U8W7
m.11131,120,4,0,0,0,0,0,-0.494,-0.6601,0.001227,0.662559,0.000063,Uncharacterized protein OS=Emiliania huxleyi CCMP1516 GN=EMIHUDRAFT_249911 PE=4 SV=1,8757418
m.11133,183,1,0,0,1,1,0,0.301,0.3467,1,0.517811,0.65691,Ras-related protein Rab-13 OS=Danio rerio GN=rab13 PE=1 SV=1,Q7T3A4
m.11137,540,0,0,0,0,3,0,0.921,1.2675,0.0009,0.000038,0.690368,RanBP-type and C3HC4-type zinc finger-containing protein 1 OS=Danio rerio GN=rbck1 PE=2 SV=1,A9JTG5
m.11143,350,0,2,2,0,0,0,-0.318,-0.3934,0.068071,0.687559,0.004684,Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2,Q96RW7
m.11149,227,26,40,31,25,20,21,-0.093,-0.569,0.005642,0.67033,0.000318,Proteasome subunit alpha type-7 OS=Homo sapiens GN=PSMA7 PE=1 SV=1,O14818
m.11152,593,2,2,0,6,5,2,1.306,2.3666,0,0,0.629476,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,4780878
m.11158,350,3,2,1,0,0,4,0.3,0.5117,0.999959,0.309125,0.730422,Golgi-associated plant pathogenesis-related protein 1 OS=Mus musculus GN=Glipr2 PE=2 SV=3,Q9CYL5
m.11159,450,0,0,0,0,0,0,0.187,0.2142,1,0.624972,0.537631,Transcriptional enhancer factor TEF-1 OS=Mus musculus GN=Tead1 PE=2 SV=2,P30051
m.1116,106,0,0,0,0,0,0,0.254,0.2963,0.999976,0.56551,0.619169,m.1116,
m.11172,232,0,0,0,0,0,0,0.221,0.247,1,0.603786,0.573325,Tumor susceptibility gene 101 protein OS=Homo sapiens GN=TSG101 PE=1 SV=2,Q99816
m.11180,213,6,6,7,4,4,0,-0.468,-1.1234,0,0.634524,0,Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens GN=EPS15L1 PE=1 SV=1,Q9UBC2
m.11189,1271,0,0,0,0,0,0,0.28,0.3196,0.999887,0.544562,0.637699,PERQ amino acid-rich with GYF domain-containing protein 2 OS=Mus musculus GN=Gigyf2 PE=1 SV=2,Q6Y7W8
m.11210,170,0,0,0,0,0,0,0.295,0.3444,1,0.520182,0.655373,Predicted protein OS=Nematostella vectensis GN=v1g180953 PE=4 SV=1,3269761
m.11219,223,1,0,0,0,0,1,0.267,0.3101,0.999833,0.553331,0.630377,Discoidin domain-containing receptor 2 OS=Homo sapiens GN=DDR2 PE=1 SV=2,Q16832
m.11245,196,0,0,0,0,0,0,0.271,0.2946,1,0.566965,0.61774,COMM domain-containing protein 6 OS=Xenopus tropicalis GN=commd6 PE=2 SV=1,Q28HC7
m.11249,809,2,0,0,0,3,2,0.687,0.988,0.060973,0.003728,0.723632,Transmembrane protease serine 2 OS=Homo sapiens GN=TMPRSS2 PE=1 SV=3,O15393
m.11251,494,0,0,0,0,0,0,0.251,0.2778,1,0.580819,0.603045,Transcriptional repressor p66-beta OS=Homo sapiens GN=GATAD2B PE=1 SV=1,Q8WXI9
m.1126,148,2,4,1,4,5,0,0.666,1.336,0.000258,0.00001,0.684003,60S ribosomal protein L27a OS=Pongo abelii GN=RPL27A PE=2 SV=3,Q5REY2
m.11265,213,18,6,25,11,6,2,-0.656,-2.3315,0,0.607543,0,Protein kinase C-binding protein NELL2 OS=Mus musculus GN=Nell2 PE=2 SV=3,Q61220
m.11277,156,0,0,0,0,0,0,0.314,0.3637,1,0.499728,0.667752,Unconventional myosin-Ie OS=Homo sapiens GN=MYO1E PE=1 SV=2,Q12965
m.11289,232,0,0,0,0,1,0,0.215,0.248,1,0.603088,0.574347,Predicted protein OS=Nematostella vectensis GN=v1g215547 PE=4 SV=1,3281455
m.11297,247,0,0,0,0,0,1,0.269,0.3259,0.999946,0.538574,0.642383,Putative uncharacterized protein OS=Acropora millepora PE=2 SV=1,4396321
m.11298,283,0,0,0,3,1,1,0.748,0.9989,0.053145,0.003204,0.722169,Deleted in malignant brain tumors 1 protein OS=Homo sapiens GN=DMBT1 PE=1 SV=2,Q9UGM3
m.113,378,88,121,103,146,95,128,0.471,6.0307,0,0,0.593113,m.113,
m.1130,383,0,0,0,0,0,0,0.249,0.2867,1,0.573599,0.610961,m.1130,
m.11300,793,0,0,0,0,0,0,0.185,0.207,1,0.629198,0.529239,Exocyst complex component 3 OS=Homo sapiens GN=EXOC3 PE=1 SV=2,O60645
m.11307,740,1,1,0,1,0,0,0.267,0.2939,1,0.567561,0.617149,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 OS=Mus musculus GN=Plcg1 PE=1 SV=2",Q62077
m.11309,423,0,1,0,0,1,0,0.304,0.3212,0.999877,0.543054,0.638902,Hemicentin-2 OS=Mus musculus GN=Hmcn2 PE=2 SV=1,A2AJ76
m.11312,381,0,0,0,0,0,0,0.185,0.2211,1,0.620783,0.545487,DNA replication licensing factor MCM4 OS=Mus musculus GN=Mcm4 PE=2 SV=1,P49717
m.11313,319,0,0,0,0,0,0,0.207,0.2383,1,0.609724,0.564265,EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Pongo abelii GN=EDIL3 PE=2 SV=1,Q5R7K9
m.11314,169,0,0,0,0,0,0,0.302,0.3479,1,0.516567,0.657705,Lactadherin OS=Rattus norvegicus GN=Mfge8 PE=2 SV=1,P70490
m.11319,252,4,2,0,0,0,0,-0.626,-0.8525,0.000029,0.648851,0.000001,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial OS=Xenopus tropicalis GN=adhfe1 PE=2 SV=1",Q6P371
m.1133,280,4,4,5,2,2,1,-0.748,-1.3118,0,0.627169,0,PCTP-like protein OS=Homo sapiens GN=STARD10 PE=1 SV=2,Q9Y365
m.11332,131,0,0,0,0,0,0,0.302,0.3252,0.999898,0.539246,0.641869,m.11332,
m.11340,155,4,3,0,5,1,0,0.198,0.3641,1,0.49929,0.667996,Balbiani ring protein 3 OS=Chironomus tentans GN=BR3 PE=2 SV=1,Q03376
m.11346,282,0,0,0,1,1,0,0.23,0.2605,1,0.594099,0.586801,"Chromosome undetermined SCAF6613, whole genome shotgun sequence OS=Tetraodon nigroviridis GN=GSTENG00003063001 PE=4 SV=1",51839299
m.1135,538,10,7,10,13,19,7,0.661,2.5921,0,0,0.622375,ALK tyrosine kinase receptor OS=Mus musculus GN=Alk PE=1 SV=2,P97793
m.11354,351,19,23,15,29,25,18,0.554,3.0807,0,0,0.611038,Quinone oxidoreductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=qor PE=3 SV=2,P43903
m.11360,287,0,0,0,0,0,0,0.204,0.2233,1,0.619418,0.547953,Contactin-associated protein-like 3 OS=Homo sapiens GN=CNTNAP3 PE=2 SV=3,Q9BZ76
m.11365,135,0,0,0,0,0,0,0.37,0.4238,1,0.428294,0.699401,m.11365,
m.11366,227,0,0,0,0,0,0,0.268,0.3176,0.99983,0.546435,0.636184,Homeobox protein OTX2-A OS=Xenopus laevis GN=otx2-a PE=1 SV=1,Q91813
m.11369,202,4,6,12,1,1,0,-1.886,-2.7218,0,0.602874,0,m.11369,
m.11382,877,0,0,0,0,0,0,0.228,0.2772,1,0.581296,0.602501,THO complex subunit 2 OS=Mus musculus GN=Thoc2 PE=1 SV=1,B1AZI6
m.11384,390,0,0,0,0,0,0,0.235,0.2872,1,0.573185,0.611397,Putative HERC2-like protein 3 OS=Homo sapiens GN=HERC2P3 PE=5 SV=2,Q9BVR0
m.11393,493,0,0,0,0,0,0,0.23,0.2559,1,0.597464,0.582288,Patched domain-containing protein 3 OS=Mus musculus GN=Ptchd3 PE=1 SV=1,Q0EEE2
m.11397,230,0,0,0,0,0,0,0.229,0.2593,1,0.594983,0.585631,Protein PRY1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRY1 PE=1 SV=1,P47032
m.11401,144,0,2,0,0,0,0,-0.122,-0.1432,0.62971,0.707885,0.080882,Dipeptidyl-peptidase 5 OS=Pseudozyma hubeiensis (strain SY62) GN=PHSY_001159 PE=4 SV=1,2718961
m.11404,108,0,0,0,0,0,2,0.662,0.8354,0.309151,0.024719,0.743225,Thioredoxin domain-containing protein 3 homolog OS=Ciona intestinalis GN=CiIC3 PE=2 SV=1,Q95YJ5
m.11405,546,0,0,0,0,0,3,0.838,1.0807,0.017576,0.00096,0.711466,NEDD8-activating enzyme E1 regulatory subunit OS=Danio rerio GN=nae1 PE=2 SV=2,Q7SXP2
m.1141,910,3,0,1,1,3,0,0.24,0.371,1,0.491661,0.672136,Nuclear factor NF-kappa-B p105 subunit OS=Canis familiaris GN=NFKB1 PE=2 SV=2,Q6F3J0
m.11430,456,6,0,2,0,0,0,-0.937,-1.2887,0,0.627986,0,Hemicentin-2 OS=Homo sapiens GN=HMCN2 PE=2 SV=2,Q8NDA2
m.11436,297,0,3,3,2,3,0,0.092,0.1679,1,0.649672,0.48031,m.11436,
m.11439,174,3,1,0,0,0,2,0.044,0.0641,0.999895,0.686985,0.329957,m.11439,
m.11443,1087,0,1,1,0,0,0,0.318,0.3705,1,0.492219,0.671841,Putative DMBT1-like protein OS=Mus musculus PE=2 SV=2,Q8BZE1
m.11447,101,1,1,1,0,0,0,0.265,0.3157,0.999704,0.5482,0.634731,BolA-like protein 3 OS=Homo sapiens GN=BOLA3 PE=1 SV=1,Q53S33
m.1145,390,1,10,5,7,0,1,-0.262,-0.5706,0.0055,0.670185,0.000309,m.1145,
m.11458,213,7,12,5,6,2,8,-0.114,-0.3592,0.102486,0.691093,0.007408,Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3,Q9H4G4
m.11472,334,17,7,11,17,19,6,0.474,2.0709,0,0,0.640782,Sorting nexin-4 OS=Homo sapiens GN=SNX4 PE=1 SV=1,O95219
m.1149,736,0,2,2,2,1,4,0.644,1.0323,0.034358,0.001988,0.717728,Nucleoprotein TPR (Fragment) OS=Xenopus laevis GN=tpr PE=1 SV=1,Q5EE04
m.11498,232,0,0,0,0,0,0,0.342,0.3646,1,0.498743,0.668301,Predicted protein OS=Nematostella vectensis GN=v1g244559 PE=4 SV=1,3277664
m.115,216,8,8,6,9,9,5,0.335,1.0712,0.020116,0.001111,0.712675,Ras-related protein Rab-5C OS=Bos taurus GN=RAB5C PE=2 SV=1,Q58DS9
m.11503,281,8,5,8,0,5,0,-0.865,-1.8679,0,0.613895,0,Vacuolar protein sorting-associated protein 45 OS=Mus musculus GN=Vps45 PE=1 SV=1,P97390
m.1152,2284,0,0,0,0,0,1,0.347,0.413,1,0.441925,0.694422,EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Mus musculus GN=Edil3 PE=1 SV=2,O35474
m.11520,410,0,0,0,0,0,0,0.27,0.3112,0.999842,0.552331,0.631241,Forkhead box protein K1 OS=Mus musculus GN=Foxk1 PE=1 SV=2,P42128
m.11523,224,1,0,0,0,0,0,0.22,0.2501,1,0.601613,0.576482,Vesicle transport through interaction with t-SNAREs homolog 1B OS=Rattus norvegicus GN=Vti1b PE=1 SV=2,P58200
m.11535,375,0,0,0,0,0,0,0.2,0.2405,1,0.608245,0.566584,Uncharacterized protein OS=Capitella teleta GN=CAPTEDRAFT_168266 PE=4 SV=1,5355377
m.11536,523,1,0,3,1,1,0,-0.334,-0.4336,0.040673,0.683423,0.002659,Peroxisomal acyl-coenzyme A oxidase 1 OS=Cavia porcellus GN=ACOX1 PE=2 SV=1,Q9Z1N0
m.11543,385,16,8,7,20,17,16,0.84,3.9714,0,0,0.601839,Mucin-19 OS=Mus musculus GN=Muc19 PE=2 SV=2,Q6PZE0
m.11544,157,10,0,2,0,1,0,-1.284,-1.9721,0,0.612427,0,m.11544,
m.11552,285,0,0,0,0,0,0,0.226,0.2496,1,0.601965,0.575975,Ataxin-3 OS=Mus musculus GN=Atxn3 PE=1 SV=2,Q9CVD2
m.11553,214,25,45,53,72,33,57,0.586,5.0038,0,0,0.59532,Glutathione S-transferase 1 OS=Ascaris suum GN=GST1 PE=1 SV=3,P46436
m.11555,111,0,0,0,0,0,3,0.875,1.151,0.006163,0.000309,0.702893,m.11555,
m.11561,392,0,0,0,1,0,0,0.292,0.3233,0.999789,0.541061,0.640466,GA-binding protein alpha chain OS=Mus musculus GN=Gabpa PE=1 SV=2,Q00422
m.1157,147,3,3,3,7,5,10,1.26,2.9077,0,0,0.614397,Ubiquitin-conjugating enzyme E2-17 kDa OS=Drosophila melanogaster GN=eff PE=2 SV=1,P25867
m.11574,760,0,0,0,1,0,0,0.296,0.344,1,0.520592,0.655104,Serine/threonine-protein kinase Nek4 OS=Mus musculus GN=Nek4 PE=2 SV=1,Q9Z1J2
m.11575,150,0,0,0,0,0,0,0.189,0.2166,1,0.623531,0.540384,Sodium/potassium-transporting ATPase subunit alpha-2 OS=Homo sapiens GN=ATP1A2 PE=1 SV=1,P50993
m.1158,604,0,0,0,1,1,1,0.285,0.3318,0.999973,0.532838,0.646649,Interferon regulatory factor 2-binding protein-like OS=Mus musculus GN=Irf2bpl PE=1 SV=1,Q8K3X4
m.11585,200,0,0,0,0,1,0,0.309,0.3631,1,0.500383,0.667385,Regulation of enolase protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=REE1 PE=1 SV=1,P40893
m.1159,503,0,0,0,0,1,0,0.305,0.3679,1,0.495109,0.670294,Predicted protein OS=Nematostella vectensis GN=v1g200212 PE=4 SV=1,3269296
m.116,223,0,0,0,0,0,0,0.246,0.287,1,0.57335,0.611223,Casein kinase II subunit beta OS=Danio rerio GN=csnk2b PE=2 SV=1,Q91398
m.11603,537,3,4,2,7,4,5,0.902,2.0956,0,0,0.639769,Predicted protein OS=Nematostella vectensis GN=v1g219291 PE=4 SV=1,3284280
m.11619,246,0,0,0,0,0,0,0.306,0.3497,1,0.514692,0.658888,m.11619,
m.1163,121,14,8,18,17,14,18,0.508,2.3988,0,0,0.628377,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 OS=Macaca fascicularis GN=NDUFA5 PE=3 SV=3,Q4R5J1
m.11636,357,7,4,20,20,4,0,0.086,0.3141,0.999753,0.549677,0.633498,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g87496 PE=4 SV=1,3268757
m.11637,167,0,0,0,0,0,0,0.297,0.3411,1,0.523549,0.653138,Uncharacterized N-acetyltransferase YafP OS=Escherichia coli (strain K12) GN=yafP PE=2 SV=1,Q47158
m.1164,164,0,0,0,0,0,0,0.306,0.3576,1,0.50633,0.663964,Universal stress protein A-like protein OS=Arabidopsis thaliana GN=At3g01520 PE=1 SV=2,Q8LGG8
m.11654,271,5,9,1,8,9,5,0.679,1.9131,0,0,0.647617,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,4780878
m.1168,430,2,1,1,0,1,0,-0.09,-0.1091,0.730859,0.708168,0.108513,Caspase-2 OS=Gallus gallus GN=CASP2 PE=2 SV=2,Q98943
m.11683,186,0,0,0,0,0,0,0.306,0.3584,1,0.505472,0.664468,purine or other phosphorylase 1 [Streptomyces acidiscabies],WP_010361067
m.11687,197,2,0,0,0,1,1,-0.098,-0.1232,0.690286,0.708183,0.096377,Biogenesis of lysosome-related organelles complex 1 subunit 4 OS=Mus musculus GN=Bloc1s4 PE=1 SV=1,Q8VED2
m.11700,147,0,0,0,0,0,0,0.223,0.2551,1,0.598043,0.581495,Bis(5_-adenosyl)-triphosphatase enpp4 OS=Danio rerio GN=enpp4 PE=2 SV=1,Q566N0
m.11706,165,2,0,0,1,1,0,-0.018,-0.0224,0.92072,0.703057,0.205136,m.11706,
m.11717,327,0,0,0,0,0,0,0.303,0.3357,1,0.52898,0.649405,Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3,Q9H4G4
m.11721,335,0,0,0,1,4,0,0.99,1.3539,0.000183,0.000007,0.682451,Maestro heat-like repeat-containing protein family member 1 OS=Homo sapiens GN=MROH1 PE=2 SV=3,Q8NDA8
m.11724,829,6,6,3,5,4,4,0.126,0.3277,1,0.536837,0.643697,Dynamin-1 OS=Rattus norvegicus GN=Dnm1 PE=1 SV=2,P21575
m.11725,118,2,2,1,7,3,0,1.159,2.0057,0,0,0.64352,Cytosolic purine 5_-nucleotidase OS=Xenopus tropicalis GN=nt5c2 PE=2 SV=1,Q5EBF1
m.1173,565,0,0,0,0,0,0,0.314,0.3703,1,0.492443,0.671723,Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2,Q96RW7
m.11734,369,0,0,0,0,0,0,0.181,0.2194,1,0.621828,0.543569,ERO1-like protein beta OS=Mus musculus GN=Ero1lb PE=1 SV=1,Q8R2E9
m.11740,629,0,0,0,0,0,0,0.275,0.3151,0.999684,0.548754,0.63427,Four and a half LIM domains protein 2 OS=Homo sapiens GN=FHL2 PE=1 SV=3,Q14192
m.11744,384,0,1,2,0,0,0,-0.149,-0.1755,0.528042,0.706716,0.059906,Predicted protein OS=Nematostella vectensis GN=v1g245710 PE=4 SV=1,3279690
m.11754,237,21,16,16,18,10,17,0.14,0.6531,0.844264,0.133271,0.751848,Contactin-associated protein like 5-2 OS=Mus musculus GN=Cntnap5b PE=2 SV=1,Q0V8T8
m.11756,1226,1,0,0,0,0,1,0.211,0.239,1,0.609255,0.565005,m.11756,
m.11767,390,1,1,3,0,1,1,-0.351,-0.4358,0.039503,0.683199,0.002576,ARF GTPase-activating protein GIT2 OS=Mus musculus GN=Git2 PE=1 SV=2,Q9JLQ2
m.1177,593,0,0,0,0,1,0,0.253,0.2883,1,0.572272,0.612353,Leucine-rich repeat protein soc-2 homolog OS=Nematostella vectensis GN=v1g189306 PE=3 SV=1,A7SFP1
m.11770,127,0,0,0,0,0,0,0.284,0.3095,0.999819,0.553874,0.629904,RNA-binding protein 1 OS=Drosophila melanogaster GN=Rbp1 PE=2 SV=3,Q02427
m.11778,210,0,0,0,0,0,0,0.301,0.3572,1,0.506759,0.663712,Chromatin complexes subunit BAP18 OS=Mus musculus GN=Bap18 PE=1 SV=1,Q9DCT6
m.11786,188,4,0,0,8,8,0,1.418,2.8036,0,0,0.61678,Small nuclear ribonucleoprotein Sm D3 OS=Xenopus laevis GN=snrpd3 PE=2 SV=1,P62323
m.11817,107,0,0,0,0,0,0,0.331,0.3671,1,0.495993,0.669813,Neurexin-4 OS=Drosophila melanogaster GN=Nrx-IV PE=1 SV=2,Q94887
m.11819,281,5,2,5,7,6,1,0.403,0.9744,0.072116,0.00449,0.725461,Carbonyl reductase [NADPH] 1 OS=Oryctolagus cuniculus GN=CBR1 PE=2 SV=2,P47844
m.11820,1432,0,0,0,1,0,0,0.271,0.3174,0.99982,0.546621,0.636031,Melanoma inhibitory activity protein 3 OS=Homo sapiens GN=MIA3 PE=1 SV=1,Q5JRA6
m.11826,566,4,7,1,3,9,1,0.395,0.9656,0.080217,0.005054,0.726646,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial OS=Mus musculus GN=Aldh4a1 PE=1 SV=3",Q8CHT0
m.11828,346,0,0,0,0,0,0,0.164,0.1833,1,0.64209,0.500238,Partitioning defective 6 homolog gamma OS=Mus musculus GN=Pard6g PE=2 SV=1,Q9JK84
m.11831,212,23,25,27,24,16,29,0.221,1.2387,0.00148,0.000066,0.69326,Glutathione S-transferase U20 OS=Arabidopsis thaliana GN=GSTU20 PE=1 SV=1,Q8L7C9
m.11832,897,22,21,18,24,21,10,0.191,1.0477,0.027891,0.001584,0.71571,Disks large homolog 1 OS=Xenopus tropicalis GN=dlg1 PE=2 SV=1,Q28C55
m.1184,205,1,0,2,0,0,0,-0.052,-0.0635,0.845088,0.706656,0.154754,Laminin subunit beta-1 OS=Drosophila melanogaster GN=LanB1 PE=1 SV=4,P11046
m.11842,252,0,0,0,4,4,0,1.511,2.2298,0,0,0.634465,Predicted protein OS=Nematostella vectensis GN=v1g240789 PE=4 SV=1,3270986
m.11852,223,0,0,0,0,0,0,0.209,0.2601,1,0.594394,0.586412,Muconolactone delta-isomerase OS=Gloeocapsa sp. PCC 73106 GN=GLO73106DRAFT_00028610 PE=4 SV=1,24388882
m.11872,568,0,0,0,0,0,0,0.273,0.3123,0.999828,0.551328,0.632101,DnaJ homolog subfamily C member 2 OS=Rattus norvegicus GN=Dnajc2 PE=2 SV=1,Q7TQ20
m.11876,224,3,1,0,1,5,15,1.782,3.4724,0,0,0.605842,Gamma-interferon-inducible lysosomal thiol reductase OS=Homo sapiens GN=IFI30 PE=1 SV=3,P13284
m.1188,293,14,14,11,14,11,10,0.187,0.7762,0.484119,0.045859,0.748956,Heat shock 70 kDa protein 4 OS=Canis familiaris GN=HSPA4 PE=1 SV=1,Q2TFN9
m.11881,218,1,0,0,1,2,1,0.643,0.7986,0.414108,0.03658,0.747016,COMM domain-containing protein 7 OS=Bos taurus GN=COMMD7 PE=2 SV=1,Q3MHX1
m.119,676,0,0,0,0,0,0,0.258,0.2921,1,0.569087,0.61562,Exocyst complex component 7 OS=Rattus norvegicus GN=Exoc7 PE=2 SV=1,O54922
m.11901,198,0,0,0,0,0,0,0.344,0.4047,1,0.45218,0.690396,Putative GTP-binding protein 6 OS=Homo sapiens GN=GTPBP6 PE=2 SV=3,O43824
m.11903,157,0,0,0,0,0,0,0.304,0.3489,1,0.515527,0.658363,m.11903,
m.11907,647,7,0,2,1,7,0,0.211,0.4101,1,0.44553,0.693035,Fibulin-1 OS=Danio rerio GN=fbln1 PE=2 SV=1,O42182
m.11916,339,3,1,1,5,1,2,0.773,1.2795,0.000728,0.000031,0.689201,Uncharacterized protein YMR196W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMR196W PE=1 SV=1,Q04336
m.11921,315,12,8,3,1,3,0,-1.291,-2.4876,0,0.605641,0,Glycine N-methyltransferase OS=Homo sapiens GN=GNMT PE=1 SV=3,Q14749
