Protein,Len,NN,NN,NN,NO,NO,NO,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE
m.11447,101,0,0,0,1,1,1,-0.051,-0.0562,0.476552,1,0.907212,BolA-like protein 3 OS=Homo sapiens GN=BOLA3 PE=1 SV=1
m.1145,390,1,6,6,1,10,5,0.126,0.3457,1,1,0.883034,m.1145
m.11458,213,4,10,10,7,12,5,-0.083,-0.2844,0.570092,0.855972,1,Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3
m.11472,334,10,12,10,17,7,11,0.011,0.0471,0.625044,1,0.852431,Sorting nexin-4 OS=Homo sapiens GN=SNX4 PE=1 SV=1
m.1149,736,4,2,4,0,2,2,-0.809,-1.4273,1,1,0.653427,Nucleoprotein TPR (Fragment) OS=Xenopus laevis GN=tpr PE=1 SV=1
m.115,216,5,8,6,8,8,6,0.05,0.1573,0.97682,1,0.844079,Ras-related protein Rab-5C OS=Bos taurus GN=RAB5C PE=2 SV=1
m.11503,281,6,3,7,8,5,8,0.183,0.5306,1,1,0.928531,Vacuolar protein sorting-associated protein 45 OS=Mus musculus GN=Vps45 PE=1 SV=1
m.11523,224,0,0,1,1,0,0,-0.109,-0.1235,0.447871,0.997171,0.974029,Vesicle transport through interaction with t-SNAREs homolog 1B OS=Rattus norvegicus GN=Vti1b PE=1 SV=2
m.11536,523,0,0,4,1,0,3,-0.262,-0.4192,0.955132,0.837866,1,Peroxisomal acyl-coenzyme A oxidase 1 OS=Cavia porcellus GN=ACOX1 PE=2 SV=1
m.11543,385,15,20,9,16,8,7,-0.441,-1.8325,0.888358,1,0.288898,Mucin-19 OS=Mus musculus GN=Muc19 PE=2 SV=2
m.11544,157,0,0,6,10,0,2,0.441,1.0037,1,0.861198,0.991772,m.11544
symbB1.EST_k37c20_4845|m.11546,980,5,5,3,10,6,4,0.363,0.9931,1,0.871596,0.99117,symbB1.EST_k37c20_4845 g.11546  ORF symbB1.EST_k37c20_4845 g.11546 symbB1.EST_k37c20_4845 m.11546 type:3prime_partial len:981 (+) symbB1.EST_k37c20_4845:105-3044(+)
m.11553,214,25,52,64,25,45,53,-0.216,-1.7967,0.953557,1,0.314681,Glutathione S-transferase 1 OS=Ascaris suum GN=GST1 PE=1 SV=3
m.1157,147,3,5,4,3,3,3,-0.341,-0.7809,1,0.922705,1,Ubiquitin-conjugating enzyme E2-17 kDa OS=Drosophila melanogaster GN=eff PE=2 SV=1
m.11585,200,1,0,0,0,0,0,-0.108,-0.1176,0.448551,1,0.968373,Regulation of enolase protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=REE1 PE=1 SV=1
m.11603,537,6,5,2,3,4,2,-0.489,-1.1084,1,0.981267,1,Predicted protein OS=Nematostella vectensis GN=v1g219291 PE=4 SV=1
symbB1.EST_k37c20_4867|m.11612,401,7,8,16,18,9,15,0.231,1.0175,1,0.845631,0.992637,symbB1.EST_k37c20_4867 g.11612  ORF symbB1.EST_k37c20_4867 g.11612 symbB1.EST_k37c20_4867 m.11612 type:complete len:401 (-) symbB1.EST_k37c20_4867:125-1327(-)
m.1163,121,15,9,6,14,8,18,0.221,0.9124,1,0.960598,0.985138,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 OS=Macaca fascicularis GN=NDUFA5 PE=3 SV=3
m.11636,357,22,6,18,7,4,20,-0.493,-2.0581,0.508528,1,0.161743,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g87496 PE=4 SV=1
symbB1.EST_k37c20_4887|m.11643,246,0,1,1,1,1,0,-0.048,-0.0573,0.475704,1,0.907207,symbB1.EST_k37c20_4887 g.11643  ORF symbB1.EST_k37c20_4887 g.11643 symbB1.EST_k37c20_4887 m.11643 type:complete len:246 (-) symbB1.EST_k37c20_4887:196-933(-)
m.11654,271,0,6,0,5,9,1,0.551,1.2462,1,0.601558,1,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1
m.1168,430,2,4,2,2,1,1,-0.808,-1.1856,1,0.989714,0.914643,Caspase-2 OS=Gallus gallus GN=CASP2 PE=2 SV=2
m.11687,197,0,1,0,2,0,0,0.228,0.2739,1,1,0.864989,Biogenesis of lysosome-related organelles complex 1 subunit 4 OS=Mus musculus GN=Bloc1s4 PE=1 SV=1
m.11706,165,1,0,1,2,0,0,0.279,0.3579,1,1,0.886134,m.11706
m.11724,829,1,5,6,6,6,3,0.142,0.3549,1,1,0.885514,Dynamin-1 OS=Rattus norvegicus GN=Dnm1 PE=1 SV=2
m.11725,118,1,3,3,2,2,1,-0.41,-0.6644,1,0.892896,1,Cytosolic purine 5_-nucleotidase OS=Xenopus tropicalis GN=nt5c2 PE=2 SV=1
m.11744,384,0,0,0,0,1,2,0.327,0.3693,1,1,0.889234,Predicted protein OS=Nematostella vectensis GN=v1g245710 PE=4 SV=1
m.11754,237,19,20,12,21,16,16,-0.014,-0.0674,0.468504,1,0.915128,Contactin-associated protein like 5-2 OS=Mus musculus GN=Cntnap5b PE=2 SV=1
m.11756,1226,0,0,0,1,0,0,-0.113,-0.129,0.447536,0.990678,0.97982,m.11756
m.11767,390,0,0,4,1,1,3,-0.32,-0.4849,1,0.847059,1,ARF GTPase-activating protein GIT2 OS=Mus musculus GN=Git2 PE=1 SV=2
m.11786,188,1,1,0,4,0,0,0.672,0.8861,1,0.989542,0.982811,Small nuclear ribonucleoprotein Sm D3 OS=Xenopus laevis GN=snrpd3 PE=2 SV=1
m.11819,281,3,2,3,5,2,5,0.354,0.7881,1,1,0.972038,Carbonyl reductase [NADPH] 1 OS=Oryctolagus cuniculus GN=CBR1 PE=2 SV=2
m.11826,566,2,6,3,4,7,1,0.025,0.0557,0.644508,1,0.850045,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial OS=Mus musculus GN=Aldh4a1 PE=1 SV=3"
m.11831,212,37,21,27,23,25,27,-0.19,-1.1832,1,0.989486,0.917295,Glutathione S-transferase U20 OS=Arabidopsis thaliana GN=GSTU20 PE=1 SV=1
m.11832,897,17,20,20,22,21,18,-0.005,-0.0293,0.5017,1,0.886568,Disks large homolog 1 OS=Xenopus tropicalis GN=dlg1 PE=2 SV=1
m.1184,205,0,0,4,1,0,2,-0.588,-0.8365,1,0.935716,1,Laminin subunit beta-1 OS=Drosophila melanogaster GN=LanB1 PE=1 SV=4
symbB1.EST_k37c20_4961|m.11850,169,1,0,0,0,0,0,-0.054,-0.0615,0.472576,1,0.911103,symbB1.EST_k37c20_4961 g.11850  ORF symbB1.EST_k37c20_4961 g.11850 symbB1.EST_k37c20_4961 m.11850 type:5prime_partial len:169 (-) symbB1.EST_k37c20_4961:252-758(-)
m.11876,224,2,0,0,3,1,0,0.152,0.2283,1,1,0.854488,Gamma-interferon-inducible lysosomal thiol reductase OS=Homo sapiens GN=IFI30 PE=1 SV=3
m.1188,293,8,10,17,14,14,11,0.042,0.18,1,1,0.846581,Heat shock 70 kDa protein 4 OS=Canis familiaris GN=HSPA4 PE=1 SV=1
m.11881,218,0,0,0,1,0,0,-0.028,-0.0318,0.499002,1,0.888113,COMM domain-containing protein 7 OS=Bos taurus GN=COMMD7 PE=2 SV=1
m.11903,157,0,0,1,0,0,0,-0.104,-0.1207,0.448153,1,0.971184,m.11903
m.11907,647,0,0,0,7,0,2,1.21,1.8331,0.665936,0.136101,1,Fibulin-1 OS=Danio rerio GN=fbln1 PE=2 SV=1
m.11916,339,0,1,0,3,1,1,0.589,0.7255,1,1,0.963749,Uncharacterized protein YMR196W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMR196W PE=1 SV=1
m.11921,315,3,12,1,12,8,3,0.263,0.8154,1,1,0.975435,Glycine N-methyltransferase OS=Homo sapiens GN=GNMT PE=1 SV=3
m.11924,283,0,2,0,2,4,0,0.444,0.6648,1,1,0.95412,Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=1 SV=1
m.11960,265,1,0,0,0,0,0,-0.16,-0.1814,0.459296,0.928861,1,Proline and serine-rich protein 1 OS=Mus musculus GN=Proser1 PE=1 SV=1
m.11993,245,0,0,2,0,0,0,-0.461,-0.5353,1,0.858726,1,Cytochrome P450 20A1 OS=Bos taurus GN=CYP20A1 PE=2 SV=1
m.11995,326,3,8,5,2,3,5,-0.59,-1.3976,1,1,0.685423,Protein turtle OS=Drosophila melanogaster GN=tutl PE=1 SV=2
m.12002,156,1,1,1,2,4,3,1.094,1.583,1,0.289086,1,Phosphoglucomutase-2 OS=Mus musculus GN=Pgm2 PE=1 SV=1
m.12007,433,6,6,6,5,1,4,-0.684,-1.7308,1,1,0.366895,Coiled-coil domain-containing protein 104 OS=Xenopus laevis GN=ccdc104 PE=2 SV=1
m.12009,511,2,0,0,2,3,0,0.326,0.5123,1,1,0.924327,"4-aminobutyrate aminotransferase, mitochondrial OS=Sus scrofa GN=ABAT PE=1 SV=2"
m.12028,524,2,2,13,1,3,1,-1.397,-2.7228,0.075021,0.995961,0.017208,Vitellogenin-2 OS=Gallus gallus GN=VTG2 PE=1 SV=1
m.12035,180,5,5,1,2,4,3,-0.32,-0.7142,1,0.906122,1,m.12035
m.12048,569,10,20,40,19,20,28,-0.131,-0.815,1,0.930975,1,Apoptosis-inducing factor 3 OS=Homo sapiens GN=AIFM3 PE=1 SV=1
m.12056,309,2,0,0,1,0,0,-0.429,-0.5511,1,0.86229,1,Probable iron/ascorbate oxidoreductase DDB_G0283291 OS=Dictyostelium discoideum GN=DDB_G0283291 PE=3 SV=1
m.12069,191,0,1,0,0,1,0,-0.198,-0.2211,0.487032,0.893088,1,Cysteine and glycine-rich protein 2 OS=Homo sapiens GN=CSRP2 PE=1 SV=3
m.1211,141,0,0,1,0,0,2,0.267,0.3241,1,1,0.877481,m.1211
m.12124,155,1,18,0,9,23,1,0.423,1.375,1,0.473794,1,m.12124
m.12129,447,348,327,536,486,479,526,0.132,3.3759,0.001018,0.000116,0.9891,m.12129
m.1215,381,67,62,45,60,62,39,-0.132,-1.2087,1,0.991894,0.888181,Predicted protein OS=Nematostella vectensis GN=v1g243536 PE=4 SV=1
symbB1.EST_k37c20_5086|m.12156,4562,0,0,0,0,0,1,-0.117,-0.1414,0.447869,0.972065,0.997993,symbB1.EST_k37c20_5086 g.12156  ORF symbB1.EST_k37c20_5086 g.12156 symbB1.EST_k37c20_5086 m.12156 type:complete len:4562 (+) symbB1.EST_k37c20_5086:167-13852(+)
m.12175,403,31,12,18,13,11,6,-0.801,-3.7697,0.000909,0.98815,0.000079,Branched-chain-amino-acid aminotransferase OS=Nematostella vectensis GN=v1g246094 PE=3 SV=1
m.12185,535,4,3,4,14,4,1,0.467,1.2049,1,0.645607,1,Carnitine O-acetyltransferase OS=Columba livia GN=CRAT PE=1 SV=1
m.12223,174,0,0,0,1,0,0,-0.142,-0.1573,0.450508,0.954764,1,m.12223
m.12229,471,52,60,78,75,81,53,0.019,0.1986,1,1,0.849339,"Citrate synthase, mitochondrial OS=Danio rerio GN=cs PE=2 SV=1"
m.1223,739,4,1,1,2,2,1,-0.326,-0.5204,1,0.854739,1,Ribosomal protein S6 kinase alpha-3 OS=Mus musculus GN=Rps6ka3 PE=1 SV=2
m.12238,232,49,53,66,58,59,60,-0.015,-0.1343,0.447493,0.981208,0.988759,Actin-related protein 2/3 complex subunit 1A OS=Mus musculus GN=Arpc1a PE=1 SV=1
m.1225,1047,0,0,4,0,2,5,0.213,0.3967,1,1,0.896016,Serrate RNA effector molecule homolog OS=Bos taurus GN=SRRT PE=2 SV=1
m.12265,255,0,0,1,0,0,0,-0.07,-0.0807,0.460704,1,0.928017,m.12265
symbB1.EST_k37c20_534|m.1227,498,3,2,3,6,7,8,0.9,2.2827,0.128971,0.026916,0.998471,symbB1.EST_k37c20_534 g.1227  ORF symbB1.EST_k37c20_534 g.1227 symbB1.EST_k37c20_534 m.1227 type:5prime_partial len:498 (+) symbB1.EST_k37c20_534:3-1496(+)
m.12286,483,0,0,3,0,0,1,-0.74,-0.9243,1,0.95342,1,m.12286
m.12306,644,0,0,0,2,0,1,0.125,0.1576,0.978086,1,0.844272,Sodium-dependent multivitamin transporter OS=Rattus norvegicus GN=Slc5a6 PE=2 SV=1
m.12311,214,5,1,1,0,0,0,-1.039,-1.3898,1,1,0.692869,Dipeptidyl aminopeptidase-like protein 6 OS=Bos taurus GN=DPP6 PE=1 SV=1
m.12334,1458,8,9,8,13,11,10,0.245,0.8918,1,0.98428,0.983248,Collagen alpha-2(I) chain OS=Rattus norvegicus GN=Col1a2 PE=1 SV=3
m.1235,511,0,0,0,1,6,0,1.051,1.4047,1,0.444263,1,Putative adenosylhomocysteinase 3 OS=Homo sapiens GN=AHCYL2 PE=1 SV=1
m.12364,195,1,1,0,0,1,1,-0.159,-0.2036,0.472697,0.906589,1,Uncharacterized protein OS=Amphimedon queenslandica GN=LOC100633942 PE=4 SV=1
m.1238,450,10,4,3,4,3,2,-0.761,-1.7776,0.986574,1,0.329073,Iron/zinc purple acid phosphatase-like protein OS=Mus musculus GN=Papl PE=2 SV=2
m.12417,694,9,7,12,10,9,11,0.001,0.0042,0.545553,1,0.868119,Arf-GAP domain and FG repeat-containing protein 1 OS=Rattus norvegicus GN=Agfg1 PE=1 SV=1
symbB1.EST_k37c20_5213|m.12433,322,2,0,0,6,0,0,0.619,0.9841,1,0.882016,0.990545,symbB1.EST_k37c20_5213 g.12433  ORF symbB1.EST_k37c20_5213 g.12433 symbB1.EST_k37c20_5213 m.12433 type:5prime_partial len:322 (-) symbB1.EST_k37c20_5213:62-1027(-)
m.1245,204,67,41,82,76,62,83,0.078,0.7822,1,1,0.971447,Ras-related protein Rab-1A OS=Rattus norvegicus GN=Rab1A PE=1 SV=3
symbB1.EST_k37c20_5230|m.12466,323,0,1,0,3,0,2,0.644,0.9357,1,0.934327,0.987088,symbB1.EST_k37c20_5230 g.12466  ORF symbB1.EST_k37c20_5230 g.12466 symbB1.EST_k37c20_5230 m.12466 type:internal len:324 (-) symbB1.EST_k37c20_5230:1-969(-)
m.12482,277,1,0,0,0,0,0,-0.102,-0.1211,0.448109,1,0.971183,Ephrin type-A receptor 6 OS=Rattus norvegicus GN=Epha6 PE=2 SV=2
m.1249,263,36,47,65,77,43,64,0.144,1.2211,1,0.628402,1,Chloride intracellular channel protein 1 OS=Mus musculus GN=Clic1 PE=1 SV=3
m.12521,914,8,16,19,23,14,16,0.134,0.6395,1,1,0.950044,Staphylococcal nuclease domain-containing protein 1 OS=Pongo abelii GN=SND1 PE=2 SV=1
m.12572,324,0,1,0,0,0,0,-0.177,-0.2164,0.482843,0.896772,1,Peroxidasin homolog OS=Homo sapiens GN=PXDN PE=1 SV=2
m.12576,162,0,0,1,0,0,1,-0.068,-0.0839,0.459101,1,0.930282,m.12576
m.12588,189,0,1,0,0,1,2,0.134,0.1733,1,1,0.845712,Tudor domain-containing protein 1 OS=Homo sapiens GN=TDRD1 PE=2 SV=2
m.12589,426,3,0,1,4,2,2,0.418,0.679,1,1,0.956465,Disintegrin and metalloproteinase domain-containing protein 10 (Fragment) OS=Rattus norvegicus GN=Adam10 PE=2 SV=1
m.1261,196,2,6,9,5,6,5,-0.154,-0.4176,0.948721,0.837679,1,N-acetylgalactosamine-6-sulfatase OS=Homo sapiens GN=GALNS PE=1 SV=1
m.12631,255,8,2,0,1,4,0,-0.721,-1.4045,1,1,0.678001,m.12631
m.12641,187,0,0,0,0,1,0,-0.199,-0.2277,0.493344,0.887818,1,Predicted protein OS=Nematostella vectensis GN=v1g245862 PE=4 SV=1
m.12642,195,113,153,166,172,149,167,0.036,0.5125,1,1,0.924327,Transgelin-2 OS=Rattus norvegicus GN=Tagln2 PE=2 SV=1
m.12643,211,2,3,6,6,7,7,0.528,1.4528,1,0.400095,1,Predicted protein OS=Nematostella vectensis GN=v1g247020 PE=4 SV=1
m.12644,250,0,0,0,0,1,1,-0.173,-0.2025,0.471908,0.908651,1,DBH-like monooxygenase protein 1 homolog OS=Danio rerio GN=moxd1 PE=2 SV=2
m.12647,377,3,2,0,1,2,0,-0.504,-0.7776,1,0.922137,1,CUB and zona pellucida-like domain-containing protein 1 OS=Rattus norvegicus GN=Cuzd1 PE=2 SV=2
m.12648,162,12,10,17,9,12,7,-0.405,-1.6307,1,1,0.453823,m.12648
m.12659,176,0,0,0,2,0,0,0.247,0.2977,1,1,0.870819,Low affinity immunoglobulin epsilon Fc receptor OS=Mus musculus GN=Fcer2 PE=2 SV=1
m.12662,470,2,3,1,2,0,2,-0.303,-0.4941,1,0.848972,1,Predicted protein OS=Nematostella vectensis GN=v1g218210 PE=4 SV=1
m.12663,124,0,1,0,0,0,0,-0.077,-0.0939,0.454775,1,0.942129,MAM domain-containing glycosylphosphatidylinositol anchor protein 2 OS=Mus musculus GN=Mdga2 PE=1 SV=1
symbB1.EST_k37c20_5312|m.12672,147,0,0,0,1,1,0,-0.177,-0.1989,0.469424,0.910759,1,symbB1.EST_k37c20_5312 g.12672  ORF symbB1.EST_k37c20_5312 g.12672 symbB1.EST_k37c20_5312 m.12672 type:internal len:148 (+) symbB1.EST_k37c20_5312:1-441(+)
m.12673,228,9,11,15,12,10,8,-0.227,-0.9445,1,0.956871,1,Williams-Beuren syndrome chromosomal region 27 protein OS=Homo sapiens GN=WBSCR27 PE=2 SV=2
m.12676,293,2,3,3,4,1,1,-0.393,-0.7122,1,0.905505,1,Thioredoxin-like protein 1 OS=Rattus norvegicus GN=Txnl1 PE=1 SV=3
m.12686,459,2,6,6,6,8,6,0.313,0.8788,1,0.997439,0.982142,26S proteasome non-ATPase regulatory subunit 12 OS=Mus musculus GN=Psmd12 PE=1 SV=4
m.12693,1749,0,2,0,16,9,5,1.963,3.7858,0.000067,0.000009,0.987296,Complement C3 OS=Mus musculus GN=C3 PE=1 SV=3
m.12698,142,32,17,23,37,24,20,0.037,0.2364,1,1,0.856423,40S ribosomal protein S19 OS=Branchiostoma belcheri GN=RPS19 PE=2 SV=1
m.12699,199,0,7,0,0,7,1,-0.039,-0.0792,0.461488,1,0.925783,Ras-related protein Rab-10 OS=Canis familiaris GN=RAB10 PE=1 SV=1
m.12707,398,0,0,0,1,0,0,-0.126,-0.144,0.448132,0.96909,1,m.12707
m.12709,550,20,19,23,23,25,19,0.014,0.0736,0.689125,1,0.846751,T-complex protein 1 subunit beta OS=Bos taurus GN=CCT2 PE=1 SV=3
m.12711,510,19,22,6,12,13,5,-0.552,-2.3315,0.276986,1,0.071431,Xaa-Pro aminopeptidase 1 OS=Homo sapiens GN=XPNPEP1 PE=1 SV=3
m.12716,167,35,11,17,12,7,12,-0.783,-3.5662,0.002478,0.988855,0.000278,Lectin mal homologue (Fragment) OS=Microcystis aeruginosa GN=malh PE=4 SV=1
m.1272,921,1,11,0,0,7,0,-0.433,-0.9367,1,0.955592,1,Protein sidekick-1 OS=Gallus gallus GN=SDK1 PE=2 SV=1
m.12722,407,2,3,2,3,3,2,0.063,0.1221,0.839719,1,0.842724,Protein Hook homolog 3 OS=Xenopus laevis GN=hook3 PE=2 SV=1
m.12724,296,0,0,0,4,0,0,0.64,0.8917,1,0.98428,0.983248,m.12724
m.12725,224,72,52,45,54,65,55,-0.046,-0.4258,0.98199,0.838499,1,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial OS=Pongo pygmaeus GN=NDUFV2 PE=2 SV=1"
m.12730,327,0,0,1,1,0,0,-0.163,-0.1738,0.455894,0.936249,1,NADH-cytochrome b5 reductase 1 OS=Bos taurus GN=CYB5R1 PE=2 SV=1
m.12732,698,30,45,39,75,69,51,0.468,4.049,0.000011,0.000001,0.986435,Calpain-9 OS=Rattus norvegicus GN=Capn9 PE=2 SV=2
m.12733,700,3,7,11,7,7,6,-0.159,-0.4795,1,0.846149,1,cGMP-dependent protein kinase 1 OS=Bos taurus GN=PRKG1 PE=1 SV=2
m.12740,434,3,10,6,12,15,11,0.627,2.1877,0.187872,0.038718,0.999791,"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial (Fragment) OS=Sus scrofa GN=SUCLG2 PE=1 SV=2"
m.12744,483,20,5,4,13,7,12,0.018,0.065,0.666984,1,0.848509,Alpha-L-fucosidase OS=Branchiostoma floridae GN=BRAFLDRAFT_56888 PE=3 SV=2
m.12749,100,3,16,2,1,10,9,-0.126,-0.399,0.877306,0.836695,1,Transcription factor BTF3 homolog 4 OS=Danio rerio GN=btf3l4 PE=2 SV=1
m.12757,255,29,53,42,24,42,40,-0.231,-1.751,1,1,0.351455,Tropomyosin-2 OS=Podocoryne carnea GN=TPM2 PE=2 SV=1
m.12762,252,50,56,89,145,71,176,0.618,6.6842,0,0,0.984128,Thrombospondin-1 OS=Homo sapiens GN=THBS1 PE=1 SV=2
m.12764,395,1,0,3,1,0,0,-0.686,-0.9085,1,0.950291,1,Nicotinate phosphoribosyltransferase OS=Drosophila melanogaster GN=CG3714 PE=2 SV=2
m.12770,763,0,0,3,2,3,1,0.12,0.2067,1,1,0.850524,ATP-citrate synthase OS=Ovis aries GN=ACLY PE=2 SV=1
m.12773,329,0,0,1,0,1,0,-0.114,-0.135,0.447513,0.981208,0.988759,m.12773
m.12774,857,0,0,1,2,1,0,0.145,0.1898,1,1,0.847885,Inactive rhomboid protein 1 OS=Danio rerio GN=rhbdf1 PE=2 SV=1
m.12778,145,4,4,4,1,4,3,-0.507,-1.0769,1,0.977386,1,m.12778
m.12781,500,0,1,0,1,2,0,0.189,0.2331,1,1,0.855445,m.12781
m.12786,174,6,6,0,5,9,0,0.058,0.1625,0.998944,1,0.844704,Acidic phospholipase A2 S7-48J OS=Austrelaps superbus PE=2 SV=1
m.12790,138,24,9,12,15,10,11,-0.283,-1.2215,1,0.992921,0.874993,L-rhamnose mutarotase OS=Bacteroides vulgatus (strain ATCC 8482 / DSM 1447 / NCTC 11154) GN=rhaM PE=3 SV=1
m.12795,196,0,0,0,0,0,1,-0.107,-0.1252,0.447735,0.993906,0.976908,Serine/threonine-protein kinase Sgk3 OS=Rattus norvegicus GN=Sgk3 PE=1 SV=2
m.12796,156,13,33,7,14,16,6,-0.451,-2.1252,0.434955,1,0.134533,Epididymal secretory protein E1 OS=Pan troglodytes GN=NPC2 PE=2 SV=1
m.12799,378,24,18,15,19,17,16,-0.194,-1.1206,1,0.98295,0.986489,Lysosome-associated membrane glycoprotein 1 OS=Gallus gallus GN=LAMP1 PE=2 SV=1
m.12800,381,0,2,2,3,2,1,0.131,0.2078,1,1,0.850932,Muscleblind-like protein 2a OS=Takifugu rubripes GN=mbnl2a PE=2 SV=1
m.12809,382,0,3,1,0,3,0,-0.087,-0.1358,0.447536,0.981208,0.988759,Methylosome protein 50 OS=Bos taurus GN=WDR77 PE=2 SV=1
m.1281,317,0,0,1,2,1,0,0.192,0.2328,1,1,0.855444,Probable protein phosphatase 2C T23F11.1 OS=Caenorhabditis elegans GN=T23F11.1 PE=3 SV=2
m.12810,529,16,9,11,18,5,10,-0.146,-0.608,1,0.877394,1,Serine/threonine-protein kinase PAK 3 OS=Rattus norvegicus GN=Pak3 PE=1 SV=1
m.12813,219,0,2,0,4,4,4,1.073,1.7986,0.733815,0.151677,1,Ras-related protein Rab-11A OS=Rattus norvegicus GN=Rab11a PE=1 SV=3
m.12818,193,24,30,28,25,28,24,-0.128,-0.7994,1,0.927173,1,Superoxide dismutase [Cu-Zn] OS=Bos mutus grunniens GN=SOD1 PE=2 SV=3
m.12824,377,33,64,59,72,77,98,0.394,4.0246,0.000014,0.000002,0.986514,Core histone macro-H2A.1 OS=Rattus norvegicus GN=H2afy PE=1 SV=4
m.12825,688,0,0,3,0,0,1,-0.665,-0.8717,1,0.943241,1,Beta-adrenergic receptor kinase 2 OS=Bos taurus GN=ADRBK2 PE=2 SV=1
m.12826,335,1,0,1,0,0,1,-0.149,-0.1657,0.45291,0.943966,1,E3 ubiquitin-protein ligase RNF31 OS=Homo sapiens GN=RNF31 PE=1 SV=1
m.12829,263,0,0,3,0,2,2,-0.138,-0.219,0.485128,0.894911,1,UDP-glucose:glycoprotein glucosyltransferase 1 OS=Homo sapiens GN=UGGT1 PE=1 SV=3
m.1283,112,13,10,4,18,12,12,0.381,1.3938,1,0.455555,1,60S ribosomal protein L31 OS=Paralichthys olivaceus GN=rpl31 PE=2 SV=1
m.12835,294,0,0,0,1,0,0,-0.105,-0.1236,0.447862,0.997171,0.974029,Receptor expression-enhancing protein 2 OS=Danio rerio GN=reep2 PE=2 SV=1
m.12839,312,11,6,4,3,5,6,-0.481,-1.4285,1,1,0.653424,Palmitoyl-protein thioesterase 1 OS=Macaca fascicularis GN=PPT1 PE=2 SV=1
m.12842,247,1,0,1,2,1,1,0.22,0.2684,1,1,0.863301,"Signal peptide, CUB and EGF-like domain-containing protein 3 OS=Homo sapiens GN=SCUBE3 PE=1 SV=1"
m.12857,118,0,1,0,0,0,0,-0.057,-0.0685,0.46779,1,0.917195,Predicted protein OS=Nematostella vectensis GN=v1g244848 PE=4 SV=1
m.12859,409,1,4,2,4,4,0,0.167,0.3218,1,1,0.876868,Insulin-degrading enzyme OS=Bos taurus GN=IDE PE=2 SV=1
m.1286,2829,1015,1239,1609,1303,1357,1705,0.045,2.0839,0.275776,0.056957,1,Uncharacterized protein OS=Stylophora pistillata PE=4 SV=1
m.12872,385,7,5,4,2,5,3,-0.566,-1.3887,1,1,0.692875,4-hydroxyphenylpyruvate dioxygenase OS=Xenopus tropicalis GN=hpd PE=2 SV=1
m.12890,232,4,1,0,2,0,4,0.058,0.1051,0.781853,1,0.843313,U2 small nuclear ribonucleoprotein B__ OS=Mus musculus GN=Snrpb2 PE=2 SV=1
m.12895,388,0,5,0,3,2,0,-0.28,-0.5009,1,0.850476,1,[Protein ADP-ribosylarginine] hydrolase OS=Mus musculus GN=Adprh PE=2 SV=1
m.129,503,6,1,0,5,2,0,-0.085,-0.1649,0.452645,0.946607,1,Brother of CDO OS=Homo sapiens GN=BOC PE=1 SV=1
m.12917,415,0,2,6,0,0,3,-0.689,-1.1764,1,0.988794,0.925257,Penicillin acylase OS=Lysinibacillus sphaericus PE=1 SV=1
m.12919,498,0,1,2,3,2,1,0.304,0.4582,1,1,0.911534,Uncharacterized FAD-linked oxidoreductase YvdP OS=Bacillus subtilis (strain 168) GN=yvdP PE=1 SV=1
m.12921,178,2,0,0,0,0,0,-0.405,-0.4822,1,0.8466,1,60S ribosomal protein L11 OS=Drosophila melanogaster GN=RpL11 PE=1 SV=2
m.12924,284,0,0,1,1,1,0,-0.025,-0.0282,0.502912,1,0.886572,Collagen triple helix repeat-containing protein 1 OS=Homo sapiens GN=CTHRC1 PE=1 SV=1
m.12925,307,0,0,10,0,0,4,-0.805,-1.6578,1,1,0.430191,Sulfotransferase family cytosolic 1B member 1 OS=Canis familiaris GN=SULT1B1 PE=1 SV=1
m.12931,406,0,3,6,3,2,1,-0.598,-1.1333,1,0.984302,0.973161,Histone acetyltransferase type B catalytic subunit OS=Homo sapiens GN=HAT1 PE=1 SV=1
m.12936,320,1,0,6,1,1,3,-0.59,-1.046,1,0.97318,1,m.12936
m.12941,323,4,8,0,7,4,1,-0.161,-0.4051,0.900091,0.836959,1,Ketimine reductase mu-crystallin OS=Rattus norvegicus GN=Crym PE=1 SV=1
m.12942,291,0,0,2,2,0,2,0.118,0.1715,1,1,0.845446,Hemagglutinin/amebocyte aggregation factor OS=Limulus polyphemus PE=1 SV=1
m.12945,765,2,2,0,2,2,0,-0.107,-0.1662,0.453076,0.943965,1,Predicted protein OS=Nematostella vectensis GN=v1g248425 PE=4 SV=1
m.1296,468,8,8,17,8,15,10,-0.088,-0.3669,0.768185,0.837243,1,Tetratricopeptide repeat protein 38 OS=Pongo abelii GN=TTC38 PE=2 SV=1
