Protein,Len,NN,NN,NN,OO,OO,OO,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE,
m.18370,247,13,6,3,5,7,6,-0.051,-0.1578,0.943818,0.674219,0.223589,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_91695 PE=4 SV=1,3667855
m.27902,108,3,0,0,0,1,1,-0.484,-0.6124,0.02637,0.659923,0.001361,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_66592 PE=4 SV=1,3674544
m.25376,167,0,1,0,3,4,3,1.429,2.0891,0,0,0.637452,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_79665 PE=4 SV=1,3674619
m.29573,135,25,9,0,3,7,7,-0.579,-2.0288,0,0.598126,0,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85658 PE=4 SV=1,3676617
m.36925,343,0,0,0,0,0,1,0.114,0.1307,1,0.535935,0.606893,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_124060 PE=4 SV=1,3682419
m.15624,128,3,0,0,0,0,0,-0.434,-0.5632,0.052058,0.66431,0.002899,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_88075 PE=4 SV=1,3682490
m.13287,313,0,1,0,7,8,9,2.459,3.4795,0,0,0.596144,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_89366 PE=4 SV=1,3682710
m.15280,205,15,7,1,4,3,4,-0.6,-1.6425,0,0.607468,0,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_129574 PE=4 SV=1,3683555
m.34818,176,0,2,0,0,0,0,-0.111,-0.1391,0.962746,0.67094,0.250319,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_121360 PE=4 SV=1,3684237
m.3774,882,0,0,1,0,0,0,0.06,0.0681,1,0.585374,0.544161,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_81652 PE=4 SV=1,3684612
m.3747,251,0,0,7,3,0,1,-0.507,-0.8816,0.000263,0.639912,0.000009,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_88391 PE=4 SV=1,3685111
m.5798,414,0,0,0,2,1,0,0.424,0.525,0.831455,0.078491,0.747559,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_68793 PE=4 SV=1,3686394
m.37973,255,0,0,11,1,1,0,-1.451,-2.2059,0,0.595091,0,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_90332 PE=4 SV=1,3688662
m.25490,249,1,0,0,0,0,0,0.093,0.1038,1,0.558813,0.581866,Galaxin-like 1 OS=Acropora millepora PE=2 SV=1,3884818
m.38693,226,0,3,1,0,1,0,-0.595,-0.7006,0.006874,0.652553,0.000311,Uncharacterized protein OS=Capsaspora owczarzaki (strain ATCC 30864) GN=CAOG_03205 PE=4 SV=2,4093212
m.4763,224,0,0,0,5,6,5,2.009,3.1617,0,0,0.603494,Tenascin C (Fragment) OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_01083 PE=4 SV=1,4191200
m.20818,279,1,3,2,9,5,7,1.503,3.1177,0,0,0.604535,Putative uncharacterized protein OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_01084 PE=4 SV=1,4191201
m.23358,103,0,0,0,1,0,0,0.181,0.21,1,0.453787,0.665036,Putative uncharacterized protein OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_01084 PE=4 SV=1,4191201
m.26680,176,0,5,2,10,9,8,1.399,3.4882,0,0,0.595957,Putative uncharacterized protein OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_01084 PE=4 SV=1,4191201
m.33827,165,0,3,2,3,4,3,0.688,1.3119,0.000005,0,0.687449,Putative uncharacterized protein OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_01084 PE=4 SV=1,4191201
m.3392,310,0,0,0,5,3,1,1.295,1.986,0,0,0.642275,Putative uncharacterized protein OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_01084 PE=4 SV=1,4191201
m.4724,266,0,2,0,0,0,0,-0.154,-0.178,0.917996,0.67712,0.196125,Putative uncharacterized protein OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_01084 PE=4 SV=1,4191201
m.22011,193,0,1,0,0,0,0,0.132,0.1425,1,0.5251,0.616978,Putative uncharacterized protein OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_03050 PE=4 SV=1,4192373
m.13885,1031,0,5,0,2,3,3,0.259,0.4654,0.941111,0.129275,0.743911,Teneurin-2 OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_10401 PE=4 SV=1,4200081
m.5288,344,0,7,0,3,5,4,0.437,0.9769,0.006049,0.000161,0.716818,Teneurin-2 OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_10401 PE=4 SV=1,4200081
m.36423,114,0,3,0,5,5,3,1.202,2.2891,0,0,0.629273,Putative uncharacterized protein OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_13036 PE=4 SV=1,4200082
m.3543,203,6,5,5,10,6,9,0.604,1.8757,0,0,0.648032,Lipoxygenase OS=Actineria villosa GN=Avt-lox PE=2 SV=1,4204622
m.1485,256,1,7,1,5,4,3,0.42,0.9559,0.008688,0.000235,0.718751,Putative uncharacterized protein OS=Acropora millepora PE=2 SV=1,4396302
m.35068,261,0,0,1,0,1,2,0.48,0.5956,0.625603,0.039243,0.747421,Putative uncharacterized protein OS=Acropora millepora PE=2 SV=1,4396302
m.2425,858,1,0,0,2,0,1,0.456,0.5558,0.750314,0.058785,0.748005,Uncharacterized protein (Fragment) OS=Strongylocentrotus purpuratus PE=4 SV=1,4499359
m.13076,445,0,0,0,1,0,0,0.005,0.0055,1,0.622345,0.465827,Uncharacterized protein OS=Strongylocentrotus purpuratus PE=4 SV=1,4513385
m.579,570,0,0,46,106,108,113,2.098,13.5567,0,0,0.568895,Uncharacterized protein OS=Amphimedon queenslandica GN=LOC100633656 PE=4 SV=1,4596768
m.13292,122,0,0,0,2,1,2,0.682,0.8918,0.024663,0.000705,0.724693,Uncharacterized protein OS=Amphimedon queenslandica PE=4 SV=1,4598910
m.12364,195,1,1,0,2,3,3,1.221,1.626,0,0,0.663437,Uncharacterized protein OS=Amphimedon queenslandica GN=LOC100633942 PE=4 SV=1,4606641
m.12976,264,1,0,1,4,1,0,0.886,1.2121,0.000055,0.000001,0.695899,Uncharacterized protein OS=Amphimedon queenslandica GN=LOC100634434 PE=4 SV=1,4612222
m.5003,527,1,0,0,0,0,0,0.006,0.0072,1,0.621489,0.468145,Uncharacterized protein OS=Amphimedon queenslandica PE=4 SV=1,4613983
m.6554,533,19,43,37,51,38,27,0.329,2.4505,0,0,0.623344,Uncharacterized protein OS=Amphimedon queenslandica PE=4 SV=1,4616512
m.26409,122,2,5,1,0,0,0,-0.963,-1.3196,0,0.618662,0,Uncharacterized protein OS=Crassostrea gigas GN=CGI_10009549 PE=4 SV=1,4765919
m.29142,223,2,0,1,15,11,10,2.466,4.7903,0,0,0.579768,Uncharacterized protein OS=Crassostrea gigas GN=CGI_10009549 PE=4 SV=1,4765919
m.5502,228,4,3,3,18,15,16,1.73,5.0183,0,0,0.578067,Uncharacterized protein OS=Crassostrea gigas GN=CGI_10009549 PE=4 SV=1,4765919
m.32224,134,0,0,0,0,1,2,0.485,0.5991,0.614129,0.037812,0.747316,Uncharacterized protein OS=Crassostrea gigas GN=CGI_10013024 PE=4 SV=1,4777729
m.784,162,5,5,6,0,0,0,-1.636,-2.454,0,0.591564,0,Uncharacterized protein OS=Crassostrea gigas GN=CGI_10007637 PE=4 SV=1,4779315
m.11152,593,0,3,0,5,3,5,1.178,2.1522,0,0,0.634731,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,4780878
m.11654,271,0,6,0,8,8,7,1.21,2.6595,0,0,0.616361,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,4780878
m.14672,359,0,11,0,8,10,9,0.917,2.6674,0,0,0.616116,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,4780878
m.18280,786,0,18,1,12,9,7,0.514,1.6818,0,0,0.659708,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,4780878
m.26704,140,0,0,0,0,0,1,0.096,0.1136,1,0.550769,0.591315,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,4780878
m.28777,363,0,2,0,1,0,0,-0.197,-0.2537,0.764437,0.68285,0.11031,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,4780878
m.29378,194,1,2,0,1,1,1,-0.19,-0.2434,0.790661,0.682492,0.120226,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,4780878
m.29620,137,0,1,0,3,3,1,1.058,1.4107,0,0,0.679399,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,4780878
m.30786,151,0,1,0,1,0,0,0.079,0.0842,1,0.573919,0.561806,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,4780878
m.32263,177,1,2,0,1,0,0,-0.189,-0.2357,0.809084,0.682145,0.128012,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,4780878
m.35966,105,0,1,0,0,0,0,0.047,0.0544,1,0.594467,0.528316,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,4780878
m.38685,106,0,0,0,1,0,1,0.143,0.1606,1,0.507524,0.631433,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,4780878
m.4366,173,0,5,0,3,3,3,0.457,0.8903,0.025243,0.000723,0.724833,Tenascin-X OS=Crassostrea gigas GN=CGI_10023352 PE=4 SV=1,4780878
m.6121,222,12,8,6,7,3,4,-0.458,-1.3625,0,0.616987,0,Uncharacterized protein OS=Crassostrea gigas GN=CGI_10028476 PE=4 SV=1,4785826
m.8982,213,24,16,26,37,37,39,0.702,4.215,0,0,0.584418,Uncharacterized protein OS=Crassostrea gigas GN=CGI_10028476 PE=4 SV=1,4785826
m.26643,120,0,0,1,0,0,0,0.076,0.0846,1,0.573624,0.562231,Polyamine-modulated factor 1-binding protein 1 OS=Crassostrea gigas GN=CGI_10023704 PE=4 SV=1,4786345
m.38787,130,0,0,2,0,0,0,-0.169,-0.2045,0.874643,0.679991,0.162783,Polyamine-modulated factor 1-binding protein 1 OS=Crassostrea gigas GN=CGI_10023704 PE=4 SV=1,4786345
m.37732,163,3,3,12,2,1,0,-1.428,-2.6345,0,0.589145,0,Putative late embryogenesis protein (Fragment) OS=Stylophora pistillata GN=g11651 PE=4 SV=1,4938167
m.4026,349,20,14,1,3,3,2,-1.361,-3.2377,0,0.582071,0,Coral acid rich protein 4 OS=Stylophora pistillata PE=4 SV=1,4941030
m.1286,2829,1015,1239,1609,1222,1277,1281,0.144,6.7196,0,0,0.571713,Uncharacterized protein OS=Stylophora pistillata PE=4 SV=1,4941088
m.27134,171,1,3,2,6,6,5,1.229,2.5337,0,0,0.620456,Uncharacterized protein OS=Stylophora pistillata PE=4 SV=1,4941088
m.28742,295,13,13,14,25,21,23,0.715,3.6171,0,0,0.593301,Uncharacterized protein OS=Stylophora pistillata PE=4 SV=1,4941088
m.38525,104,0,3,2,2,0,2,-0.034,-0.0525,1,0.647232,0.381774,Uncharacterized protein OS=Stylophora pistillata PE=4 SV=1,4941088
m.3844,610,52,210,68,210,169,176,0.683,9.5864,0,0,0.569441,Putative flagellar-associated protein (Fragment) OS=Stylophora pistillata PE=4 SV=1,4941204
m.17615,183,0,12,14,0,1,0,-2.175,-3.3878,0,0.580904,0,Egg protein OS=Galaxea fascicularis GN=GfEP-4 PE=2 SV=1,5041693
m.27544,189,0,4,0,0,0,0,-0.639,-0.8624,0.000385,0.641104,0.000014,Egg protein OS=Galaxea fascicularis GN=GfEP-4 PE=2 SV=1,5041693
m.348,295,54,24,28,13,16,14,-0.754,-4.029,0,0.577476,0,Galaxin OS=Galaxea fascicularis GN=galaxin PE=2 SV=1,5274797
m.34443,147,0,1,1,0,0,0,0.114,0.1229,1,0.542828,0.599929,CARP3 OS=Stylophora pistillata GN=g12678 PE=4 SV=1,5335462
m.5441,307,0,0,3,1,1,0,-0.46,-0.5977,0.032488,0.661218,0.001715,Uncharacterized protein OS=Capitella teleta GN=CAPTEDRAFT_216986 PE=4 SV=1,5344297
m.26,122,1,3,0,0,0,0,-0.484,-0.6324,0.01971,0.658188,0.000987,Uncharacterized protein (Fragment) OS=Capitella teleta GN=CAPTEDRAFT_129670 PE=4 SV=1,5366826
m.20628,112,1,0,0,1,0,0,0.148,0.1876,1,0.479174,0.650814,Egg protein OS=Euphyllia ancora PE=2 SV=1,5376222
m.26931,103,0,2,3,0,0,0,-0.601,-0.8459,0.00053,0.642154,0.000019,Egg protein OS=Euphyllia ancora PE=2 SV=1,5376222
m.30564,140,0,3,0,0,0,0,-0.435,-0.574,0.045041,0.663336,0.002466,Egg protein OS=Euphyllia ancora PE=2 SV=1,5376222
m.5747,202,1,6,0,1,0,0,-0.924,-1.3187,0,0.618698,0,Egg protein OS=Euphyllia ancora PE=2 SV=1,5376222
m.27291,142,0,0,0,2,0,0,0.479,0.6074,0.58596,0.034587,0.747035,Putative plasma membrane protein OS=Anopheles aquasalis PE=2 SV=1,5473090
m.9133,155,32,22,28,47,49,43,0.693,4.9508,0,0,0.578581,Uncharacterized protein OS=Helobdella robusta GN=HELRODRAFT_193192 PE=4 SV=1,5494725
m.8203,109,1,2,1,2,3,3,0.924,1.4498,0,0,0.676324,Uncharacterized protein OS=Strigamia maritima PE=4 SV=1,5530311
m.29493,482,0,0,0,2,0,0,0.443,0.5461,0.777583,0.064534,0.747957,Uncharacterized protein OS=Strigamia maritima PE=4 SV=1,5531126
m.16442,194,0,18,10,7,4,6,-0.386,-1.2448,0,0.621714,0,Uncharacterized protein OS=Tetranychus urticae PE=3 SV=1,5548421
m.4452,223,1,1,1,2,0,0,0.548,0.6424,0.466565,0.023377,0.745424,Liprin-beta-1 (Fragment) OS=Hydra vulgaris GN=PPFIBP1 PE=2 SV=1,5574982
m.14586,176,0,0,1,0,0,0,0.053,0.0589,1,0.591545,0.533605,"Leucine-rich PPR motif-containing protein, mitochondrial (Fragment) OS=Hydra vulgaris GN=LRPPRC PE=2 SV=1",5576561
m.23871,448,2,2,1,0,0,0,-0.438,-0.569,0.048179,0.663786,0.002659,Uncharacterized protein OS=Ascaris suum GN=ASU_09704 PE=4 SV=1,5583993
m.36074,128,0,0,0,13,10,10,2.766,3.9036,0,0,0.588249,Expressed conserved protein OS=Echinococcus multilocularis GN=EmuJ_000158900 PE=4 SV=1,5628904
m.22625,168,0,0,0,1,0,0,0.181,0.2156,1,0.447188,0.668342,Uncharacterized protein OS=Lottia gigantea GN=LOTGIDRAFT_158251 PE=4 SV=1,5726265
m.32790,184,0,3,1,2,2,3,0.507,0.8114,0.079074,0.002492,0.732126,Uncharacterized protein OS=Lottia gigantea GN=LOTGIDRAFT_152977 PE=4 SV=1,5731708
m.18408,135,0,3,3,3,0,0,-0.304,-0.4758,0.151401,0.672208,0.009871,Uncharacterized protein OS=Lottia gigantea GN=LOTGIDRAFT_160587 PE=4 SV=1,5738812
m.23594,226,1,2,0,8,8,10,2.108,3.801,0,0,0.589903,Uncharacterized protein OS=Lottia gigantea GN=LOTGIDRAFT_230986 PE=4 SV=1,5739728
m.2327,164,3,1,3,1,3,2,-0.019,-0.0325,1,0.639553,0.411699,Uncharacterized protein OS=Emiliania huxleyi CCMP1516 GN=EMIHUDRAFT_207150 PE=4 SV=1,8764129
m.33585,222,5,16,6,5,7,7,-0.199,-0.649,0.015384,0.656775,0.000752,Hypothetical transporter OS=Cyanothece sp. CCY0110 GN=CY0110_03479 PE=4 SV=1,9153914
m.534,225,25,68,9,61,63,60,0.752,6.4404,0,0,0.572384,Hypothetical transporter OS=Rhodobacteraceae bacterium HTCC2150 GN=RB2150_00225 PE=4 SV=1,9169740
m.24620,241,14,6,6,6,11,8,0.119,0.423,0.983759,0.175444,0.73863,Ricin B lectin (Precursor) OS=Leptonema illini DSM 21528 GN=Lepil_4202 PE=4 SV=1,15860556
m.9807,393,10,34,25,43,35,39,0.717,4.7183,0,0,0.580293,Putative glycosyltransferase OS=Micromonospora lupini str. Lupac 08 GN=MILUP08_30041 PE=4 SV=1,16955371
m.21772,262,0,0,0,1,3,1,0.716,0.989,0.004889,0.000129,0.715709,Uncharacterized protein OS=Anabaena sp. 90 GN=ANA_C10044 PE=4 SV=1,22075682
m.29606,138,0,5,5,0,0,0,-1.225,-1.7373,0,0.604805,0,Uncharacterized protein OS=Xenococcus sp. PCC 7305 GN=Xen7305DRAFT_00025450 PE=4 SV=1,24393482
m.12716,167,35,11,17,5,4,4,-1.454,-4.6539,0,0.574818,0,Lectin mal homologue (Fragment) OS=Microcystis aeruginosa GN=malh PE=4 SV=1,29644726
m.20590,295,0,0,0,1,1,0,0.137,0.1512,1,0.516796,0.624077,RHS repeat-associated core domain protein OS=Clostridium sp. CAG:568 GN=BN713_01022 PE=4 SV=1,31133027
m.28313,382,0,2,6,0,0,0,-1.009,-1.5186,0,0.611367,0,Uncharacterized protein OS=Parabacteroides goldsteinii dnLKV18 GN=C803_04595 PE=4 SV=1,32160160
m.1846,234,0,2,0,4,3,2,1.025,1.6975,0,0,0.658689,Wd40 repeat-containing protein OS=Leptolyngbya sp. Heron Island J GN=N836_24850 PE=4 SV=1,39100176
m.7675,148,0,0,0,2,0,0,0.451,0.6088,0.581303,0.034066,0.746984,Uncharacterized protein OS=Acaryochloris marina (strain MBIC 11017) GN=AM1_C0121 PE=4 SV=1,42011228
m.5331,336,0,0,0,4,1,0,0.881,1.2577,0.000019,0,0.692004,Glyoxalase/bleomycin resistance protein/dioxygenase (Precursor) OS=Chitinophaga pinensis (strain ATCC 43595 / DSM 2588 / NCIB 11800 / UQM 2034) GN=Cpin_6751 PE=4 SV=1,43474990
m.26751,180,8,4,8,10,9,10,0.537,1.8135,0,0,0.651562,Uncharacterized protein OS=Xanthomonas albilineans (strain GPE PC73 / CFBP 7063) GN=XALC_2793 PE=4 SV=1,43773995
m.3547,337,3,6,7,0,3,1,-1.079,-1.9431,0,0.599858,0,RimK domain protein ATP-grasp OS=Rhodomicrobium vannielii (strain ATCC 17100 / ATH 3.1.1 / DSM 162 / LMG 4299) GN=Rvan_2759 PE=4 SV=1,44550403
m.32269,102,0,0,0,0,0,1,0.098,0.1127,1,0.551521,0.590464,Uncharacterized protein (Fragment) OS=Takifugu rubripes GN=LOC101076203 PE=4 SV=1,51514037
m.5958,540,3,3,6,6,4,5,0.345,0.8933,0.024096,0.000688,0.724554,Uncharacterized protein OS=Xiphophorus maculatus PE=4 SV=1,51730564
m.11346,282,0,0,0,2,0,1,0.426,0.5144,0.855578,0.08628,0.747195,"Chromosome undetermined SCAF6613, whole genome shotgun sequence OS=Tetraodon nigroviridis GN=GSTENG00003063001 PE=4 SV=1",51839299
m.9482,331,0,0,5,3,0,0,-0.18,-0.279,0.693873,0.683253,0.088382,Serine racemase OS=Bos taurus GN=SRR PE=2 SV=1,A0JNI4
m.7201,1122,1,0,0,0,0,0,0.096,0.1186,1,0.546538,0.59599,Laminin subunit gamma-1 OS=Xenopus tropicalis GN=lamc1 PE=2 SV=1,A0JP86
m.32852,395,1,3,2,2,3,3,0.422,0.7899,0.104726,0.003418,0.734072,Chitinase domain-containing protein 1 OS=Rattus norvegicus GN=Chid1 PE=2 SV=2,A0JPQ9
m.1706,388,0,0,1,0,0,0,0.163,0.1919,1,0.474428,0.65367,Testin OS=Canis familiaris GN=TES PE=3 SV=1,A0M8U6
m.1751,317,0,0,0,1,0,1,0.039,0.0428,1,0.601712,0.514315,DNA-(apurinic or apyrimidinic site) lyase OS=Danio rerio GN=apex1 PE=1 SV=1,A0MTA1
m.17776,322,9,9,8,12,11,11,0.426,1.5292,0,0,0.67031,Dehydrogenase/reductase SDR family member 12 OS=Homo sapiens GN=DHRS12 PE=1 SV=2,A0PJE2
m.21047,294,6,4,6,12,10,7,0.743,2.4758,0,0,0.622453,"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial OS=Danio rerio GN=echdc3 PE=2 SV=2",A0PJR5
m.36293,247,4,4,16,12,12,11,0.546,2.0659,0,0,0.638494,Pyrroline-5-carboxylate reductase 3 OS=Xenopus laevis GN=pycrl PE=2 SV=2,A1L2Q8
m.25217,316,0,0,0,1,0,0,0.215,0.2479,1,0.40735,0.685617,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D OS=Homo sapiens GN=SSC5D PE=2 SV=3,A1L4H1
m.11309,423,0,2,0,0,0,0,-0.19,-0.2255,0.832236,0.681577,0.138818,Hemicentin-2 OS=Mus musculus GN=Hmcn2 PE=2 SV=1,A2AJ76
m.1733,1264,13,8,0,0,0,0,-1.951,-3.11,0,0.583284,0,Hemicentin-2 OS=Mus musculus GN=Hmcn2 PE=2 SV=1,A2AJ76
m.18835,428,0,0,1,2,0,0,0.475,0.6098,0.577992,0.033698,0.746946,E3 ubiquitin-protein ligase UBR4 OS=Mus musculus GN=Ubr4 PE=1 SV=1,A2AN08
m.30465,240,0,0,1,1,0,1,0.035,0.0383,1,0.604414,0.508742,E3 ubiquitin-protein ligase UBR4 OS=Mus musculus GN=Ubr4 PE=1 SV=1,A2AN08
m.9925,1408,1,0,0,0,0,0,0.151,0.1683,1,0.499697,0.63722,E3 ubiquitin-protein ligase UBR4 OS=Mus musculus GN=Ubr4 PE=1 SV=1,A2AN08
m.6463,6996,16,21,20,26,11,20,0.137,0.7572,0.156159,0.005433,0.736956,Titin OS=Mus musculus GN=Ttn PE=1 SV=1,A2ASS6
m.37396,133,7,5,7,10,10,11,0.656,2.0366,0,0,0.639844,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Mus musculus GN=Svep1 PE=1 SV=1",A2AVA0
m.17582,562,1,4,5,6,4,4,0.533,1.1771,0.000119,0.000003,0.698924,Collagen alpha-4(VI) chain OS=Mus musculus GN=Col6a4 PE=1 SV=2,A2AX52
m.18376,222,0,0,0,2,0,1,0.389,0.4983,0.888723,0.099136,0.746419,Collagen alpha-4(VI) chain OS=Mus musculus GN=Col6a4 PE=1 SV=2,A2AX52
m.24493,298,6,0,5,6,6,6,0.544,1.4699,0,0,0.674771,Collagen alpha-4(VI) chain OS=Mus musculus GN=Col6a4 PE=1 SV=2,A2AX52
m.33619,266,0,0,0,2,3,1,0.888,1.1738,0.000128,0.000003,0.699211,Collagen alpha-4(VI) chain OS=Mus musculus GN=Col6a4 PE=1 SV=2,A2AX52
m.18693,232,9,10,6,11,11,11,0.461,1.7244,0,0,0.656974,Menin OS=Canis familiaris GN=MEN1 PE=2 SV=1,A2SXS5
m.14051,131,1,4,0,4,5,7,1.201,2.4193,0,0,0.624457,Ribose-5-phosphate isomerase OS=Sus scrofa GN=RPIA PE=2 SV=1,A2TLM1
m.9284,447,20,20,17,82,87,78,1.623,10.9895,0,0,0.569112,Protein kinase C-binding protein NELL2 OS=Xenopus tropicalis GN=nell2 PE=2 SV=1,A2VCU8
m.29970,184,2,0,0,0,0,0,-0.119,-0.1396,0.96233,0.671035,0.24959,Integral membrane protein 2C OS=Bos taurus GN=ITM2C PE=2 SV=1,A2VDN0
m.637,726,2,6,10,10,8,9,0.592,1.8905,0,0,0.647222,Splicing factor 3A subunit 1 OS=Bos taurus GN=SF3A1 PE=2 SV=1,A2VDN6
m.2398,398,0,0,0,0,2,0,0.484,0.6165,0.554889,0.031314,0.74668,Peptidase M20 domain-containing protein 2 OS=Mus musculus GN=Pm20d2 PE=2 SV=1,A3KG59
m.25244,393,4,7,3,4,2,4,-0.21,-0.4705,0.160452,0.672674,0.010581,Peptidase M20 domain-containing protein 2 OS=Mus musculus GN=Pm20d2 PE=2 SV=1,A3KG59
m.26932,113,0,0,1,0,0,0,0.046,0.0574,1,0.592527,0.531851,Peptidase M20 domain-containing protein 2 OS=Mus musculus GN=Pm20d2 PE=2 SV=1,A3KG59
m.9551,312,0,0,6,1,0,0,-0.941,-1.2817,0,0.620187,0,Tetratricopeptide repeat protein 38 OS=Danio rerio GN=ttc38 PE=3 SV=1,A3KPN8
m.11100,1144,8,9,12,24,23,25,1.097,4.9866,0,0,0.578309,Large proline-rich protein BAG6 OS=Danio rerio GN=Bag6 PE=3 SV=1,A3KPW9
m.23115,169,0,1,1,0,0,0,0.17,0.1929,1,0.473315,0.654325,Molybdopterin synthase catalytic subunit OS=Bos taurus GN=MOCS2 PE=2 SV=2,A4FUY7
m.18040,327,11,19,20,13,14,17,0.021,0.1043,1,0.558411,0.582358,Glucosamine-6-phosphate isomerase 1 OS=Bos taurus GN=GNPDA1 PE=2 SV=1,A4FV08
m.1225,1047,0,0,4,6,4,4,1.09,2.109,0,0,0.636577,Serrate RNA effector molecule homolog OS=Bos taurus GN=SRRT PE=2 SV=1,A4IFB1
m.29199,285,4,4,2,2,1,1,-0.801,-1.2419,0,0.621835,0,Receptor-type tyrosine-protein phosphatase F OS=Danio rerio GN=ptprf PE=2 SV=1,A4IFW2
m.15200,788,4,5,0,16,12,8,1.47,4.1258,0,0,0.585349,Peroxidasin OS=Xenopus tropicalis GN=pxdn PE=2 SV=1,A4IGL7
m.9956,418,1,2,3,1,0,1,-0.63,-0.868,0.000345,0.640753,0.000012,BRO1 domain-containing protein BROX OS=Xenopus tropicalis GN=brox PE=2 SV=1,A4IIL4
m.3440,267,2,0,0,2,2,4,0.861,1.404,0.000001,0,0.679933,Olfactomedin-like protein 2A OS=Xenopus tropicalis GN=olfml2a PE=2 SV=1,A4IIT5
m.19709,568,0,3,0,1,0,0,-0.351,-0.4827,0.14018,0.671597,0.009011,Kynurenine formamidase OS=Geobacillus thermodenitrificans (strain NG80-2) GN=kynB PE=3 SV=1,A4IT60
m.8991,306,7,14,2,24,26,25,1.357,5.3484,0,0,0.575933,3-hydroxypropionyl-coenzyme A dehydratase OS=Metallosphaera sedula (strain ATCC 51363 / DSM 5348) GN=Msed_2001 PE=1 SV=1,A4YI89
m.32645,340,2,4,5,3,4,2,-0.082,-0.1721,0.926253,0.676339,0.203978,Adenylosuccinate synthetase isozyme 2 OS=Sus scrofa GN=ADSS PE=2 SV=1,A4Z6H1
m.6024,399,14,23,10,11,5,7,-0.587,-2.2518,0,0.594395,0,Acid ceramidase OS=Pan troglodytes GN=ASAH1 PE=2 SV=1,A5A6P2
m.3128,439,19,19,11,2,0,0,-2.449,-4.4528,0,0.575626,0,Iron/zinc purple acid phosphatase-like protein OS=Danio rerio GN=papl PE=2 SV=1,A5D6U8
m.5058,460,0,2,0,0,0,0,-0.161,-0.1994,0.883938,0.679516,0.168942,Iron/zinc purple acid phosphatase-like protein OS=Danio rerio GN=papl PE=2 SV=1,A5D6U8
m.2011,367,0,0,4,4,3,2,0.59,1.1927,0.000085,0.000002,0.697572,mRNA export factor OS=Sus scrofa GN=RAE1 PE=3 SV=1,A5GFN6
m.19105,387,0,0,2,0,1,1,-0.177,-0.2204,0.843362,0.681244,0.144429,Procollagen galactosyltransferase 1 OS=Bos taurus GN=COLGALT1 PE=2 SV=1,A5PK45
m.9431,161,12,40,19,32,25,19,0.23,1.4918,0,0,0.673102,40S ribosomal protein S17 OS=Bos taurus GN=RPS17 PE=2 SV=1,A5PK63
